Style,Full
Append Mode,1
Fill Mode,1
Capacity,1000000
Count,11079
Base Time Seconds,1668038562
Base Time Fractional,.154675208
Base Time,11/10/2022 00:02:42.154675208
Scan Relative Time,CH115,CH116,CH117,CH118,CH119,CH120
0.000000000,10661.75839375,20184.24022641,28627195.79747,559082.396382,503517.6821964,23771.67044181
1.859105000,10643.0497413,20059.50499777,27765505.2441,554907.3141307,490792.2667899,14600.96453244
3.284474697,10679.64837135,20051.99093916,27017755.61748,552772.3654158,490945.4333464,14383.67956252
4.706394636,10678.01655895,20035.93855803,28118944.73484,554506.3680962,492424.5657287,14281.07932556
6.126967848,10658.98380981,19949.50170239,28979530.92806,553792.9385938,491978.6360492,14353.48174342
7.548888485,10674.19187294,19890.83773138,28818489.58089,554328.7992041,491638.4201899,14251.97162215
8.969910333,10667.35219094,19929.89723728,28523552.84577,553369.0147437,490133.6821601,14217.44660891
10.391377636,10665.99936984,19926.65772538,28694723.49532,553733.5744096,489007.0215188,14189.64777499
11.812848879,10667.53674322,19906.30840779,27955454.29419,552233.6405862,488942.8856175,14119.36166807
13.233878454,10659.94831896,19958.70532746,27935252.30376,551792.2307166,490668.0871813,14151.73466418
14.655347515,10655.27056622,19961.99526984,27984208.40111,553841.7158628,489682.3281587,14241.88506791
16.076370545,10647.70858948,19902.39447647,27370275.69737,553193.237249,491117.0034461,14233.59683559
17.497838060,10640.42845545,19854.8057364,27636510.78215,551400.6615257,491347.1917377,14080.56469222
18.918857576,10646.9043333,19851.07281576,28295725.8874,553625.5731839,490568.5965351,14374.83485453
20.340767545,10635.55339153,19871.97767104,28130190.05063,550809.3083518,490434.6479188,14154.97241053
21.761338909,10628.15978292,19856.9717789,27658217.73308,554765.3765175,491445.8845333,14139.0666021
23.183268121,10636.65216184,19830.60990268,27898652.73922,551415.8538717,491664.9745941,14113.07611945
24.604287515,10629.36195346,19844.1745854,27691804.30036,550893.8113979,490725.4957417,14069.36469882
26.025768909,10622.64245221,19864.03436079,28501479.88276,551045.2109728,487675.3590435,14085.95467303
