Style,Standard
Append Mode,1
Fill Mode,1
Capacity,1000000
Count,12014
Base Time Seconds,1665607283
Base Time Fractional,.390792224
Base Time,10/12/2022 20:41:23.390792224
Scan Relative Time,CH115,CH116,CH117,CH118,CH119,CH120
0.000000000,98078877.19066,135119.4892046,133377.495479,676374.6472635,98250418.9662,4011904.265003
1.988195939,97971987.84419,125196.1187096,261758.12989,671098.5693812,98130720.70481,805797.6414456
3.519970727,97936037.63126,102310.9145476,256160.7817014,665736.0901993,98090212.54639,801479.5740601
5.042503121,97923210.6498,103003.5193841,258831.6344166,685287.0604142,98102166.30795,808078.6846294
6.463515303,97899299.73046,100153.6619709,266949.2264936,668407.2329505,98096329.08076,807213.6311932
7.884980242,97869172.60688,106861.9463297,261272.722961,671606.023363,98103302.01371,805990.7870278
9.305997424,97832981.05241,102544.9633643,265319.0678068,671799.7484315,98098271.24177,804095.3867359
10.727922909,97824082.93269,101339.5317226,265728.4148603,666111.4045823,98106258.8721,805565.8659285
12.148487606,97827630.91532,98734.55649186,266368.2106394,669450.1872806,98107333.07208,800399.4620054
13.570407666,97846481.00875,101901.6768706,258546.8951816,670293.1404291,98279395.18241,803279.1388849
14.991408788,97884975.53455,101676.2743032,261577.5894696,673198.7206546,98057498.54882,795756.5438018
16.412880727,97890022.62912,99238.11856779,261671.3841237,677872.7762338,98105466.89067,794236.2630005
17.834343151,97803084.79071,96409.78252287,253420.0764418,681673.6121861,97928790.80536,794733.8593173
19.255370575,97868228.76791,98407.29023142,257165.2650429,682282.3716792,97944438.28045,792521.9700394
20.676831485,97787711.76039,96832.37520133,258745.4336711,681304.2684503,98035140.54876,792673.3637387
22.097848272,97749307.52003,96083.5607032,256686.4010962,679544.1346774,97956325.86714,792238.4363738
23.519318545,97825509.36061,97961.41954795,255260.2072138,678217.7429095,97997289.95696,791263.8402416
24.940340909,97707754.32023,92168.71910049,259063.4998879,680409.9014145,98050400.27449,789203.6470485
26.362276363,97437261.21585,95680.67676352,258732.1578103,678130.8706847,97980386.79574,792328.2265524
27.782844014,97793939.61185,95877.67013027,260968.1638246,681932.0834888,97886909.19817,792809.7632521
29.204769681,97761041.18595,95028.1517372,263630.9722087,680061.9316578,97980815.28659,792056.8770205
30.625785893,97823328.44091,95529.98028956,260429.2602033,680771.6212433,97937281.87085,793555.1566864
32.047259287,97781348.46359,93295.99025732,269303.6617714,679406.6328401,97918420.77989,793755.1628293
33.468728045,97797392.20809,91086.32331135,267104.4205618,679705.3838234,97880094.4034,793725.9602646
34.889740136,97772003.08007,93897.37409534,266603.1017216,677772.0969326,97901788.62912,798416.7280846
36.311206439,97750453.85125,92824.55616999,263032.5304875,678396.355857,97964046.05414,797064.7728539
37.732219257,97724960.52627,93570.49759078,262563.7874768,682621.6534483,97896935.03403,796105.8664832
39.153688529,97581487.52905,93927.97442174,264735.4194953,678887.1791595,97935376.81323,799541.988375
40.574703075,97593850.66989,91882.07682829,266426.4032551,676744.0635051,97948304.05699,795013.293667
41.996630620,97689486.95346,93138.73271282,262800.0435639,677990.3110162,97938703.29069,794489.1106831
43.417186317,97684355.64152,94186.67968568,259892.8770826,679554.096996,97917840.39834,794513.7407113
44.839110408,97741441.00167,90338.49642484,266111.4370771,680733.5719425,97902964.51418,799312.2090211
46.260117439,97748121.41484,92913.08771753,272628.5033087,679780.2930755,97882192.37524,800902.4262484
47.681596105,97759481.68023,93928.6078983,267473.5015862,685615.9177656,97880078.31292,802985.7551777
49.103057863,97767906.85317,94820.35136153,267928.0797028,682119.7087683,97851157.31749,801859.2604137
50.524078954,97739092.40668,95236.52600299,266058.7970244,678966.2344061,97861667.83981,799415.2161612
51.945545408,97718728.21371,92052.00410146,267884.0063354,680905.2810177,97854046.55007,797649.0442688
53.366559620,97690904.12253,93083.43092686,263600.7983939,687624.603483,97886541.60611,794860.0159033
54.788029136,97706790.27646,95504.0486766,265958.4264734,686172.6290849,97865932.99969,798105.7829172
56.209059014,97677930.61672,95189.49827337,270322.4094701,687268.4054268,97889985.38373,792230.5027777
57.630974620,97676240.3382,93454.63925016,266781.8396931,687102.2794225,97888394.15211,792076.7210194
59.051531984,97679631.15608,94011.10598154,266063.8668452,685719.1773275,97890385.90398,791837.6523196
60.473465681,97704978.48085,93140.86875719,264935.853256,682778.0013666,97881205.83616,787225.1846969
61.894476196,97705412.55698,93715.95679591,262210.3851604,680781.3620606,97874673.86254,782173.2752229
63.315955802,97729144.65834,91477.30676145,265997.6932647,677990.9007211,97864511.62715,786707.7483373
64.737419711,97748158.89777,90989.64216759,259811.3832985,677572.2898414,97847390.77928,788099.3331173
66.158442408,97743607.48004,90649.87001627,257137.447302,672350.5993197,97829067.99932,788716.4033842
67.579914529,97758117.08853,90812.69303815,262188.3801964,679123.4969348,97811344.13011,786405.0935584
69.000920105,97737258.05159,92022.26584243,262996.5557906,672737.9048568,97816935.20964,789710.4480538
70.422375348,97714302.23731,90110.11032764,259682.6723753,677571.0290343,97858038.96174,789509.1096586
71.843397166,97673475.5935,88433.6201749,264195.0073584,682735.4694362,97859006.79603,787702.2909973
73.265306014,97647749.88506,88419.64952813,260638.3689191,673748.2957744,97871212.28631,789993.1128572
74.685868439,97666903.82256,86751.13994674,263835.1129857,675683.7851849,97871119.28477,787525.4846382
76.107785014,97681044.09937,89613.83708251,260308.516562,674405.1022541,97881351.40303,786981.1192462
77.528800408,97697963.91702,89477.09076933,264176.136739,679574.5725114,97874077.56676,785598.4263813
78.950271772,97736223.94245,91125.53396582,261321.9738774,680045.1316981,97850387.24062,786010.9137371
80.371743014,97743190.48437,90363.38684422,266745.1669181,677102.9565977,97830867.24059,785969.2086733
81.792758408,97747314.42705,91953.15459318,265983.5699674,671908.2515823,97822305.50555,787528.1332633
83.214228226,97740629.89689,89558.01867518,265823.8283647,678420.2786746,97830667.39615,784853.3491698
84.635231711,97730251.29368,88946.47128351,255882.6831286,673253.8068529,97830527.99887,789399.5633295
86.056696651,97710476.29313,88841.04685921,264556.586118,676045.8455842,97826508.94889,788469.175707
87.477716105,97710887.32029,88375.68266851,259881.8847224,676960.6281802,97846085.77714,786372.867853
88.899644272,97673374.22868,88265.54299775,259524.710989,671658.7172845,97856229.82594,788379.3188719
90.320209059,97679481.74085,91074.37668307,261921.6788227,669400.9237069,97867366.93542,789300.2203515
91.742143241,97657059.97531,92401.44955312,261204.161289,668450.7533059,97891517.14356,789284.5624556
93.163165969,97674418.70706,94326.95088153,259963.5027094,671147.6972761,97883326.54725,795735.7090457
94.584637726,97703594.40424,93826.12617551,268813.1914192,667395.9646326,97871251.88765,791933.1341333
96.006097241,97742429.67088,92284.17631687,268273.3018278,668226.2820634,97856615.56065,793074.3828306
97.427114241,97752443.33757,93259.52159317,264387.7584238,670970.3681629,97833693.3026,794124.5191362
98.848588575,97760082.73602,93760.78094579,269533.6757396,671935.6720056,97826865.98565,792488.5276448
100.269612484,97753589.53869,95416.29758668,267861.4383079,669693.7494408,97820661.48271,792133.5111689
101.691079999,97730736.38759,95693.65339014,268719.3787939,672823.5351161,97823714.21633,786451.0529971
103.112097666,97711162.66415,93099.97006609,268646.8205735,668883.4300908,97823904.27955,785595.1229262
104.534015969,97682859.96591,94584.38472236,266290.8743038,672520.3172299,97842825.91842,789878.5933172
105.954582362,97673681.53511,90772.56456731,264758.8739408,673962.4661392,97869357.74584,787667.8231128
107.376504211,97668758.06598,91574.36040475,263793.877002,668955.5128503,97887385.49783,787824.858042
108.797522241,97690961.33993,90805.76949529,262534.7613725,670009.6125858,97892648.19471,789342.1605631
110.219001666,97716606.91185,90927.36528368,262711.2204559,670087.9828229,97881683.44356,790663.6827312
111.640449969,97752034.88315,90504.48036205,264173.5360404,668111.4623391,97853174.54474,793273.5756629
113.061470272,97769637.79471,90193.62981962,262122.7877604,665176.5812916,97838343.57315,796161.4764061
114.482939211,97763963.02855,90818.70800335,266996.4411784,668448.1670182,97836388.36104,799271.2596857
115.903955666,97750992.18944,91581.99170324,261086.2790197,673976.061692,97837241.7396,794784.6019593
117.325421817,97732225.72729,89047.49477159,259707.4274348,679215.0754591,97833496.29635,792913.9431666
118.746442211,97715060.8019,87515.11123044,268182.3048652,677710.5648081,97839089.67411,794117.1507508
120.168356211,97686169.91795,89327.93358441,269366.4892593,675345.4192875,97854668.9645,794814.0852542
121.588911060,97685841.31746,88118.30018036,267754.5550385,674797.6463334,97863404.91212,796636.7888024
123.010839151,97679305.20783,89640.19193816,270453.6465744,671754.9846827,97873835.06255,797717.9616849
