Style,Standard
Append Mode,1
Fill Mode,1
Capacity,1000000
Count,16477
Base Time Seconds,1665683717
Base Time Fractional,.670727329
Base Time,10/13/2022 17:55:17.670727329
Scan Relative Time,CH115,CH116,CH117,CH118,CH119,CH120
0.000000000,97841517.70739,81183979.61408,95310.98334565,95048776.09484,98219122.94999,3837519.184369
1.954517636,97969118.52401,78872881.05245,95364.3773585,94946687.00215,98173051.59504,3622201.391719
3.376448939,97976744.26085,79652683.84567,95477.78636529,94918065.50152,98157713.85968,2990969.508546
4.797025758,97960532.71175,79051435.81298,95453.17932577,94883870.69432,98167990.98041,2973756.095998
6.218932848,97938476.0735,78436117.84387,95641.64967704,94858420.73554,98160743.93705,3035576.332431
7.639941333,97897337.9724,77845844.28497,95429.6644046,94869202.39945,98136806.02638,2888585.358249
9.061408758,97892522.69396,76024841.23825,95256.82036793,94848657.30699,98134401.59412,3036917.941643
10.482868000,97894586.4938,74985211.05547,95344.21177148,94837668.47329,98117994.18982,2989329.169861
11.903886303,97858468.92593,74416757.53514,95367.5902182,94822821.74642,98117883.77499,2796311.361552
13.325350546,97856816.4503,76053455.19473,95172.12872596,94791269.56865,98111301.23858,2985455.946261
14.746357758,97843120.5151,77363134.10767,95164.00844251,94755790.06194,98105947.04301,2912650.947305
16.167820455,97809655.12043,76931238.49378,95355.38184329,94791110.11493,98081654.02937,2937251.581149
17.588838243,97807240.02049,76680998.06247,95302.97506418,94755830.03868,98072271.64512,2838703.300496
19.010759030,97783649.50556,76566402.70378,95216.23921895,94744420.85787,98080192.82616,2778367.009379
20.431328030,97786397.10664,75345877.99609,95387.48860545,94732310.05826,98079535.04793,2830691.609327
21.853249909,97793573.62027,74881805.53529,95137.29771041,94709846.14873,98081585.65951,2880025.876333
23.274272424,97872192.76684,74926454.04828,95139.53171435,94704465.4541,98093895.88934,2896753.324339
24.695745697,97785314.86551,74438035.71811,95225.27971739,94704849.32319,98094133.60055,2891269.187183
26.117219606,97817151.88262,71978098.63571,95051.46102473,94662389.88252,98142318.70453,2970795.719548
27.538238152,97804933.11746,74503103.60227,95207.47933509,94689966.02941,98070517.68158,2840596.157287
28.959699576,97783526.86931,74050407.68918,95213.22768169,94688305.34746,98030609.58482,2748190.421474
30.380717455,97774305.43527,72465112.97747,95298.162609,94617855.70905,98121295.76258,2851402.857077
31.802171273,97759424.45123,72895934.5609,95578.77418362,94571068.27399,98131324.37496,3017910.197334
33.223183909,97694793.00232,73771940.50018,95415.1519509,94527132.23447,98134004.78855,2876992.987762
34.645115030,97697726.57407,72148236.03405,95384.55532587,94645998.50195,98140819.87507,2863886.863458
36.065671758,97698771.59286,74149190.57804,95236.38719913,94580206.466,98125973.32633,2986158.912417
37.487589985,97692083.54371,72337523.38141,95291.33015827,94566710.56042,98124137.37017,2868088.727018
38.908597743,97733334.94687,71609495.25162,95349.84559656,94541537.73135,98126310.04541,2878498.489839
40.330055470,97780515.62536,71720680.39941,95299.13899759,94550397.99795,98114270.05869,2883748.322628
41.751520167,97774751.09715,71144193.69387,95231.51434207,94514945.3568,98098843.71096,2837987.400036
43.172532621,97804591.95828,72860309.5328,95345.2679656,94539355.03543,98106956.94108,2795159.853003
44.593987833,97731168.72352,72461308.48929,95377.01948903,94488344.49253,98085564.91557,2782333.818246
46.015003137,97799313.19683,71440675.37615,95394.01049169,94485421.55569,98073296.38854,3792435.073473
47.436455955,97749701.46708,71450094.2507,95336.10263025,94489137.97283,98079789.1828,3756175.900733
48.857478440,97711851.7201,68677559.27575,95429.89835944,94485374.21856,98075532.89455,3746613.98733
50.279401288,97772455.71851,68503202.04084,95268.85255773,94448851.72208,98068317.85453,3828939.576844
51.699959227,97810977.56934,69014261.573,95463.55211669,94446093.47501,98068330.583,3712532.239207
