Style,Full
Append Mode,1
Fill Mode,1
Capacity,1000000
Count,11770
Base Time Seconds,1666114496
Base Time Fractional,.867406117
Base Time,10/18/2022 17:34:56.867406117
Scan Relative Time,CH115,CH116,CH117,CH118,CH119,CH120
0.000000000,96161139.22213,92727290.19804,94217873.68267,85173271.84547,79380118.57391,93175873.91872
1.555490303,96213695.6329,92677182.61253,94184926.70008,85143731.96421,79301328.31266,93042496.25904
3.649297091,96104420.45805,92570783.72512,94097248.57628,85067633.09754,78998037.21058,92917755.58789
5.070314636,96100135.66639,92461877.33998,94034059.89373,84986051.02404,78958781.6506,92928341.56003
6.492237455,96024722.35492,92430399.26899,93937522.5145,84924889.39453,78910360.16547,92882931.94886
7.912807243,95971158.81443,92442794.97802,93916225.47449,84862609.43938,78767807.518,92815655.06413
9.334725849,95930609.02429,92427912.45386,93937736.40428,84849349.77124,78713475.06381,92733352.83834
10.755729940,95616040.74272,92365064.58492,93918832.2168,84820572.47444,78678181.84924,92718693.5805
12.177192152,95461155.15872,92285355.54237,93899283.27235,84786995.34038,78588144.05649,92721250.09768
13.598664333,95493839.82383,92243138.48356,93821782.41072,84774228.66592,78587141.02319,92774095.83514
15.019678940,95531076.30315,92140786.07226,93824645.24907,84745030.76242,78543111.30529,92826742.11715
16.441156879,95720782.05188,92189749.91122,93736513.72204,84713134.73079,78453061.76303,92733568.72391
17.862165121,95648948.68504,92109115.3283,93775362.04625,84695603.21243,78431414.79511,92738622.02033
19.283623727,95569902.95658,92124778.25923,93740802.08849,84659521.16812,78355811.39454,92701025.41257
20.704642788,95581349.79694,92140476.52972,93743003.18421,84625821.39516,78330185.84113,92666825.85108
22.126572424,95647034.20942,92088102.82402,93716286.964,84640619.79631,78270401.91674,92656078.73242
23.547144546,95635033.81892,92108482.07493,93728519.35722,84651873.42486,78234777.2378,92620980.6994
24.969082303,95667681.69153,92026542.40565,93693292.82636,84646401.82616,78262758.44246,92631077.10366
26.390098788,95545013.81984,91994517.87865,93644831.35891,84639924.66139,78240840.13385,92647678.29007
27.811566242,95720739.91558,91882775.44901,93631448.68185,84665946.35478,78232101.19953,92647153.93062
29.233034303,95839230.80927,91984648.80946,93604962.03984,84559782.90126,78146896.88789,92645836.45432
30.654055636,95729692.80677,91994445.56522,93592025.05758,84591375.26393,78160066.68122,92604774.24322
32.075522758,95543070.89809,91975498.15535,93579641.30321,84603962.2568,78064543.85895,92616423.84432
33.496539091,95689398.3621,92000862.02601,93625798.72718,84578426.53699,78074680.52725,92603397.11371
34.918010848,95617508.84,91979558.20723,93596811.59617,84584306.56117,78048409.25476,92621847.74855
36.339041667,95455011.56551,91949220.60845,93757212.2536,84554527.53621,77953131.9535,92563583.58438
37.760961455,95557699.29576,91952805.94878,93602030.5714,84604412.23978,78085029.09541,92583043.22531
39.181512273,95553327.86809,91934651.54409,93594747.68085,84586167.14388,78109139.50795,92631596.72357
40.603436121,95687118.07049,91948620.91093,93558650.71495,84541437.67296,78069886.58616,92635078.73892
42.024442424,95656113.96463,91928086.59315,93567089.64127,84533981.68397,78036014.07536,92615571.17564
43.445904424,95747832.35185,91965979.77928,93599042.38466,84539542.12533,78003835.06526,92545788.33703
