Style,Standard
Append Mode,1
Fill Mode,1
Capacity,1000000
Count,8889
Base Time Seconds,1667339124
Base Time Fractional,.022568830
Base Time,11/01/2022 21:45:24.022568830
Scan Relative Time,CH115,CH116,CH117,CH118,CH119,CH120
0.000000000,61895429.55486,78937492.82917,75557155.05346,80524838.96442,78322926.35473,84160589.81296
1.421017272,62244217.84597,79000447.96666,75559270.81336,80554352.16041,79343677.26588,84103085.14986
2.842477848,62223729.93299,78892796.66869,75539697.58095,80522772.36303,79877114.61959,84057754.5021
4.263501485,62179571.86813,78814302.45736,75424347.50302,80488438.5645,79124724.59133,84037673.98607
5.685414333,62111334.94476,78746856.01152,75415558.78252,80460670.42772,79087673.52936,84047842.55238
7.105974363,62076343.22714,78680626.48632,75338200.44294,80453428.90899,79914918.72426,84037893.10958
8.527906727,61994898.71143,78664052.91495,75398791.50918,80483021.63849,78839471.10902,84023625.70694
9.948913060,61980745.73673,78653779.97028,75266502.91119,80448165.42441,77867471.16617,84047320.35518
11.370384788,61953972.33372,78603950.32165,75272849.38436,80466564.8849,77425218.24626,84028371.36116
12.791845424,61920828.51078,78543118.04723,75371572.37365,80447241.60472,77714815.40748,84074122.42513
14.212868182,61894141.61226,78533320.24137,75345124.81485,80474132.77486,77836286.89927,84039245.50332
15.634342757,61873122.73942,78501854.23914,75349958.28566,80451247.77891,77477403.59224,84058174.52175
17.055369454,61840121.95397,78470053.77691,75235866.20138,80428569.06756,77311028.01896,84061776.52724
18.476839348,61757653.7078,78465771.67761,75312133.12974,80416292.39726,77147737.36762,84049722.86657
19.897858803,61791696.65194,78442357.36961,75244538.88293,80404558.22062,77239566.72202,84039986.76933
21.319780500,61759439.1045,78400753.85794,75300893.24548,80435187.68399,77502660.01621,84046270.43638
22.740347166,61720824.95315,78401236.28141,75282632.97346,80429678.57474,77604282.44203,84051210.30628
24.162266015,61693766.95398,78417138.48718,75264192.25752,80453708.89352,77439499.5312,84006971.04805
25.583289530,61719388.57418,78375243.15132,75339171.11749,80428549.24908,77311661.18213,84025739.6511
27.004753894,61643354.1599,78386752.15239,75235382.59557,80456851.06637,77222381.54712,84030549.77515
28.426219257,61624189.10976,78355909.13679,75223803.59514,80417649.11737,77060132.94269,84036502.28218
29.847231106,61621177.35659,78351672.60179,75241330.16967,80416743.61246,76969480.437,84026479.94081
31.268704621,61616735.72112,78323210.90463,75225348.31151,80406509.0934,77043560.06049,83998056.89993
32.689719257,61562141.13819,78293078.30417,75223729.02623,80365982.14342,77105123.18202,84071950.29004
34.111176985,61549187.30027,78302538.84645,75199562.00146,80518930.4004,77278954.35619,84003411.65932
35.532194257,61550605.95921,78274753.99088,75166712.46971,80492907.68256,77180034.18902,83994259.51397
36.954109742,61511287.82916,78292535.30858,75225177.37656,80509339.99474,77241792.48792,84011466.49899
38.374681742,61463117.89618,78282843.65389,75152094.33191,80489908.9543,77024399.94401,83990965.03936
39.796603257,61433452.23891,78282069.96305,75064299.0607,80473344.68637,77446443.74553,84009115.76251
41.217614136,61418277.33592,78253494.75302,75094237.77411,80488382.40422,77281816.11537,84007107.63827
42.639089985,61406643.53925,78266997.25471,75134518.64726,80514079.19969,77173006.92893,84013992.71934
44.060561894,61471926.09678,78246368.88426,75112191.9303,80482398.75516,77042094.60377,83997365.22191
45.481577651,61454005.29973,78231178.06552,75107423.92681,80478831.10726,76939640.49592,84007307.5298
46.903053166,61446646.09139,78228376.7165,75052520.34087,80495592.09604,77273808.45393,84010815.348
48.324077544,61464427.13146,78252296.56645,75185143.06164,80490643.58852,76911398.7039,84008404.81528
49.745542363,61471417.37995,78256687.69208,75211659.09579,80442829.59112,77088622.33185,84000126.29723
51.166561878,61457915.3884,78257598.48396,75188954.56237,80447544.10708,77030253.59363,84003842.60023
52.588486575,61488950.03009,78249437.21524,75188057.21446,80453246.8311,77413397.00764,83993998.61167
54.009053120,61422723.61184,78256852.99053,75173685.6497,80448858.52341,77084043.81225,84005195.10682
55.430971302,61393096.35686,78262352.1146,75175137.25076,80449619.17791,77030884.80126,83987459.76067
56.851980908,61401158.69781,78249918.11037,75194434.5971,80477124.16282,77137047.64103,83986757.33908
58.273444999,61426680.29087,78288614.83772,75265856.06537,80488719.71652,76958859.41963,83965251.27392
59.694927060,61423266.20794,78278372.20832,75251236.53714,80472021.78623,76872935.14113,83962036.78512
61.115958756,61424821.99081,78296406.66441,75303813.9208,80489164.32673,77151835.18281,83945878.74443
62.537432999,61390185.28492,78257923.79022,75224832.39896,80494451.2824,76842263.83515,83948032.51121
63.958452817,61412940.55718,78280079.61579,75311185.70636,80493591.81885,76764197.30339,83947901.08361
65.379912181,61443205.21948,78286587.9708,75217181.083,80477923.96204,76982803.90001,83953705.63822
66.800936090,61406889.32401,78292503.97983,75207091.18067,80449821.30904,77185000.71496,83941229.76482
68.222857332,61392430.61331,78285651.64273,75202902.93209,80454272.70529,77254416.54471,83956518.03494
69.643416999,61374684.67867,78300230.49102,75236785.5132,80491429.32297,76848389.53579,83939491.65004
71.065332060,61378671.87184,78296565.43002,75243229.31722,80485433.06861,76911586.74055,83958661.30107
72.486347696,61308259.34452,78303878.70846,75281363.8083,80469677.0219,76772297.40291,83949747.67449
73.907820969,61375911.06602,78303713.68208,75348960.34632,80454585.22259,77062044.94658,83955848.46698
75.329283423,61431862.25687,78313143.70502,75301073.29215,80438629.61531,76959330.18163,83957400.85908
76.750303120,61396617.8339,78292720.74966,75242485.11222,80430833.30717,77213137.41068,83965878.80706
78.171758893,61423086.11683,78322777.42183,75271268.91977,80403356.14483,77262410.4864,83963450.85491
79.592785227,61431651.78761,78341148.60261,75221232.80209,80412394.48499,77192441.34923,83957884.51136
81.014247166,61359940.71318,78344492.12312,75320337.71366,80440862.28921,77274547.42216,83942041.25783
82.435266772,61338697.40531,78365186.30596,75161813.0967,80425133.65624,77400627.726,83936833.18385
83.857183166,61412262.89012,78354758.83846,75238978.29069,80447433.56485,77193743.95762,83949093.33552
85.277744045,61452123.52718,78349146.26286,75237529.96127,80446768.09769,77152774.9348,83940861.42836
86.699683530,61441600.51427,78367029.12449,75303173.25414,80450576.31564,77183850.20553,83948647.17936
88.120695287,61416330.87859,78352816.53663,75254833.53771,80463401.24873,77353784.394,83945552.18359
89.542164075,61473956.1045,78359355.27959,75289231.71686,80409206.85684,77161828.98664,83950463.09234
90.963628499,61482787.79541,78367969.18348,75345959.33146,80430005.06638,77035339.73671,83907567.84172
92.384652166,61483437.20333,78351239.30398,75376330.06369,80427947.10347,77140564.8939,83945433.7143
93.806103045,61422346.9406,78363217.0647,75330810.71388,80476918.79662,77061523.63828,83926407.90313
95.227117378,61416762.30539,78355761.28003,75359739.0963,80487613.21246,77043282.22929,83926926.96671
96.648581833,61388894.85693,78380993.63422,75412327.85746,80508346.65769,76998840.73821,83923085.85431
98.069602893,61421294.11748,78378426.67629,75385187.68774,80500692.97818,77181975.98705,83943896.28159
99.491525378,61424336.29782,78376759.42209,75318744.01568,80517790.35055,77122137.37396,83916185.75936
100.912090712,61417464.48184,78402431.91344,75318408.34156,80517332.12795,76930902.46414,83919385.1668
102.334019530,61420154.14536,78389753.46069,75348205.90442,80521491.28161,76831343.21337,83918677.17683
103.755029166,61443777.78742,78379890.0948,75389653.7697,80521009.21591,77215116.76003,83922845.50836
105.176500772,61452322.71637,78393181.14785,75437330.78124,80511175.96482,77180607.34954,83925399.03434
106.597966954,61489826.08593,78389390.70018,75442258.29965,80506264.70322,77015136.73577,83940178.49609
108.018984530,61449697.71638,78407077.81324,75482556.27674,80517427.2599,77047423.9356,83932057.6811
109.440448772,61477581.21336,78416671.89207,75442911.39013,80529676.66656,77298531.91901,83935041.93326
110.861465803,61425091.18128,78434429.98519,75473873.61904,80526367.17682,76955376.34055,83937253.2063
112.282928742,61465071.8134,78458000.26903,75403256.07033,80550099.5039,77221983.11696,83941965.49115
113.703951772,61435699.14657,78443979.93414,75472497.96234,80543409.30184,77142437.71057,83942382.16131
115.125870409,61497672.13592,78456069.26352,75444358.30149,80507243.36213,77316736.07276,83944761.68249
116.546436681,61474372.47107,78457023.95959,75426558.4909,80517001.73317,76847713.62381,83951129.96835
117.968354197,61462898.96373,78458096.95806,75452920.59062,80509238.40213,76927554.05862,83942273.27022
119.389366954,61473020.09692,78459631.37155,75442013.94447,80516343.07737,76978562.41769,83952698.01797
120.810831772,61499517.18932,78455082.52219,75318503.08213,80542629.67538,77172753.04963,83932428.44882
122.232302560,61455776.83309,78445667.57914,75309691.90286,80560267.50497,77242398.42574,83958094.75801
123.653311075,61492384.8375,78466216.86821,75348936.84615,80574541.68862,77035751.28421,83940050.28702
125.074780500,61507671.09777,78471602.74757,75424108.75211,80554279.82542,77346035.34303,83935837.11828
126.495788591,61509669.21752,78495491.68682,75444831.42828,80585320.07217,77181202.46107,83941878.40846
127.917256712,61493059.46873,78458865.21485,75437514.28727,80583384.6985,77064131.32817,83929480.95956
129.338285288,61484558.49817,78459095.37747,75428675.83006,80572822.52219,76586207.94724,83920115.76098
130.760199803,61476024.2883,78438651.65284,75402273.90863,80584101.92927,77126839.10661,83938234.92066
132.180767348,61511345.79987,78450400.30879,75449153.34493,80617223.19051,77033772.74399,83920333.35329
133.602702803,61492182.97777,78443861.46784,75453003.57098,80648501.25382,76895356.58789,83912113.47399
135.023719500,61511134.42672,78455827.44907,75464475.28099,80632273.66455,76693436.07564,83907538.87898
136.445190803,61506143.57652,78459031.82131,75464373.78126,80650422.29111,77062635.70493,83918054.81527
137.866661045,61543272.59682,78498899.2399,75469020.6107,80645613.47168,77372272.23312,83921199.1633
139.287692469,61530376.66455,78497845.52002,75491618.78597,80631045.40464,77090858.40225,83931391.31109
140.709160712,61496422.1086,78482729.32527,75453690.96814,80633786.79105,77245480.54559,83923038.05544
142.130171621,61543682.42987,78514013.86571,75453224.30816,80621882.70021,76997959.67218,83929058.47185
143.551647378,61523332.39076,78480186.92682,75448602.25131,80632583.80729,77098729.82624,83933976.47583
144.972662772,61548688.27955,78480658.84711,75480770.48021,80650912.37473,77227837.97683,83933511.81185
146.394585409,61550747.77705,78485854.49013,75437162.56982,80644402.605,77386146.27847,83930837.58201
147.815146287,61547821.56113,78469250.22924,75422486.82021,80623466.9572,77307313.97406,83940966.61406
149.237075530,61508601.32988,78477242.2052,75356425.50851,80656174.32194,77341477.01506,83934810.0737
150.658089287,61568876.57324,78476895.39854,75366693.74251,80658257.62195,77137880.66408,83945966.3047
152.079560560,61548369.09048,78479729.26982,75429526.11956,80649855.95228,77136245.69195,83950123.91091
153.501021227,61500022.96795,78480783.97924,75405460.39691,80668947.10181,77150353.39505,83943434.39123
154.922040227,61532294.90146,78480451.62271,75420962.45676,80649151.9659,77209557.43949,83946370.48391
156.343491136,61520174.25863,78489040.84349,75436633.12543,80638692.45012,77269059.37094,83936513.3271
157.764518409,61581269.89289,78495366.73908,75405435.70112,80661837.99973,77249473.04465,83948535.95301
159.185974136,61569710.7612,78497034.31027,75375884.48045,80648032.65863,77182128.29994,83931082.618
160.606995560,61545458.43292,78515048.79239,75472931.34893,80654645.82966,77165320.53138,83946382.90489
162.028906803,61574779.04785,78506280.7138,75456747.3671,80645791.44894,77060186.61584,83945882.71159
163.449471984,61550858.62414,78497722.27007,75520339.61021,80642461.51965,77225738.11709,83944985.22795
164.871401045,61583633.38329,78513583.17047,75487257.71258,80663659.61914,77396868.89936,83960283.63801
166.292420772,61589326.38409,78523410.98683,75488974.61194,80668522.60059,77436774.7486,83929307.94347
167.713890257,61617037.94457,78491022.60008,75489317.24951,80683422.79241,77478998.07601,83935495.809
169.135349787,61596294.48518,78495026.53563,75519641.29809,80694675.13249,77198692.2602,83933724.94847
170.556364181,61566536.08138,78518509.71293,75562022.64468,80696428.61797,77002357.52071,83935791.94681
171.977837666,61591586.78007,78525609.41733,75510061.8021,80691144.39782,76857180.57762,83939131.39154
173.398860969,61534567.23417,78517883.61883,75530512.81988,80706711.84952,77201212.99805,83916756.58053
174.820322787,61538764.6389,78516803.23841,75594340.79301,80695180.82202,77249763.13293,83930806.78026
176.241342363,61545559.64973,78529284.1997,75453985.9883,80701630.59017,77188113.89678,83947062.20567
177.663264030,61552190.00173,78525089.39268,75548765.89951,80699342.28583,77375100.81711,83931947.82575
179.083828030,61544804.95188,78539684.90102,75507128.75272,80687205.90784,77301051.08755,83946400.16428
180.505746333,61546514.25902,78544064.28395,75573814.73059,80700451.68389,77414842.96711,83938880.79456
181.926765454,61587628.08789,78553636.89993,75586140.79376,80711829.59636,77485474.65283,83944222.46465
183.348253878,61558583.47327,78545566.35336,75593832.30019,80705619.19053,77406213.20211,83959145.4883
184.769723030,61571018.32553,78537982.36506,75607718.17594,80692106.33671,77202447.01771,83968039.84663
186.190736090,61602957.42466,78557599.03648,75574001.68819,80711394.33159,77209314.8249,83959080.55933
187.612202848,61600417.6486,78554665.8365,75575927.27805,80701053.73365,77256726.34874,83971330.85471
189.033223484,61588357.82617,78575442.137,75580099.59837,80697898.97832,77341522.18353,83960350.86519
190.454690303,61612911.99242,78579464.6379,75556897.2298,80704073.78602,77212833.35736,83979185.36387
191.875714848,61629012.82286,78591071.2358,75522671.76172,80702095.93144,77296104.78647,83973081.53693
193.297618212,61616073.88697,78589064.00033,75524907.31506,80664388.7998,77316251.15354,83956549.74255
194.718177575,61608336.92325,78596702.35922,75556734.42361,80678101.64184,77229603.44344,83967953.29991
196.140094727,61580523.56632,78601959.98251,75498859.28036,80697062.23002,77411720.02699,83962681.42484
197.561115727,61589132.41497,78605492.1638,75521870.2918,80693842.03695,77455061.93423,83959662.24684
198.982585257,61566177.75314,78616596.48251,75609973.32451,80699103.92813,77384713.93715,83953702.02049
200.404056135,61604893.22757,78621222.11926,75580585.02612,80722538.24004,77396509.07962,83947846.05238
201.825082802,61563248.6329,78619717.03877,75617931.7134,80719435.78641,77418242.74281,83946775.41328
203.246552802,61629203.86986,78611695.47609,75543638.36631,80726612.00754,77483733.36101,83951916.95255
204.667569287,61582854.51869,78607053.28735,75640865.30298,80731676.07582,77426626.24999,83947150.13873
206.089033014,61589542.48745,78607525.12497,75550548.85714,80743365.19264,77413618.10798,83926906.60264
207.510058893,61584770.00292,78595512.31739,75591933.09095,80712058.04658,77334118.55653,83935282.90008
208.931980438,61583848.5468,78619098.99437,75637170.61463,80703786.88146,77325984.88076,83940676.06461
210.352540650,61603371.56614,78609669.02204,75586365.96406,80724242.58908,77253345.39336,83944609.01893
211.774464620,61592168.68873,78599135.37371,75577595.44676,80698962.21739,77516644.04442,83950199.43221
