Style,Standard
Append Mode,1
Fill Mode,1
Capacity,1000000
Count,35065
Base Time Seconds,1667341411
Base Time Fractional,.858982450
Base Time,11/01/2022 22:23:31.858982450
Scan Relative Time,CH115,CH116,CH117,CH118,CH119,CH120
0.000000000,62996112.02465,79812533.31492,77450244.93903,81979538.28452,89953410.41301,84337530.08078
1.421015425,63167124.14647,79779521.51815,77474461.52969,81874128.92017,89999218.10564,84284196.32087
2.842468152,63203711.94813,79664974.90544,77333693.62123,81692065.93121,89954163.99927,84239133.16512
4.263485697,63145867.36381,79548936.38447,77250726.37664,81610597.53385,89834060.9812,84189896.27021
5.685399334,63092096.02575,79415892.59351,77086695.55092,81491079.15279,89786809.0945,84135798.6347
7.105952515,62996775.97749,79319600.77796,76964592.72495,81419588.15623,89747588.7535,84101128.62832
8.527867909,62890407.49474,79213551.23866,76917475.68605,81379070.50899,89710535.72598,84071180.91511
9.948886758,62798996.45032,79113715.22043,76910788.22005,81179928.45298,89701335.85302,84016822.91945
11.370352940,62722832.97127,79001122.40028,76719445.45838,81244002.77405,89655393.25777,83986688.27919
12.791815243,62608932.92297,78921687.16811,76627713.95769,81188774.74061,89624965.9636,83959091.64172
14.212836546,62565939.36164,78826418.92621,76597261.22205,81121371.02918,89604161.48991,83948463.92364
15.634299122,62511218.05828,78752804.35314,76468284.45063,81046332.75128,89532706.35769,83900619.44905
17.055304516,62404882.4189,78679668.82401,76425996.02959,80991044.66847,89526578.57322,83890907.82647
18.476764304,62340007.81656,78881551.24006,76416512.61639,80978932.51359,89461738.34835,83854765.78998
19.897779273,62277602.62313,78529390.56841,76408961.31887,80937307.61097,89462845.10196,83830781.22529
21.319700486,62178922.68398,78486323.43266,76327430.0504,80887678.5768,89414086.84783,83793549.10644
22.740267728,62114834.05008,78430582.11706,76252315.78654,80824479.06655,89392067.8787,83783740.24872
24.162187728,62036070.93596,78383671.447,76211948.32765,80843720.36091,89312026.57601,83737090.96935
25.583206698,61986244.56926,78341031.3375,76178272.18319,80670699.66851,89313024.91462,83702979.08806
27.004664879,61935715.89332,78285556.73597,76113566.30227,80673355.64488,89279768.34726,83697529.68474
28.426117667,61890406.03381,78259055.45486,76087404.37463,80639317.52778,89239098.39228,83670819.55674
29.847132455,61843269.22725,78239124.75735,76117741.25281,80613944.0792,89206906.62523,83653369.55709
31.268598334,61797234.00239,78189450.07651,76038835.00979,80594684.68162,89261166.67715,83640214.51381
32.689618910,61755143.55212,78189799.34799,76030640.15513,80530219.60637,89258947.85659,83638590.41607
34.111086849,61712020.8023,78153296.7574,76011589.80617,80524802.56672,89261176.87759,83622753.13784
35.532106516,61663152.52337,78133765.17353,75998576.795,80523772.90024,89215285.39852,83583808.07667
36.954027364,61653372.64435,78110932.26603,76013754.89761,80463601.74967,89228945.22606,83568927.53294
38.374579273,61588269.31629,78088666.44917,76005253.26316,80441418.83356,89226663.47335,83544286.73233
