Style,Standard
Append Mode,1
Fill Mode,1
Capacity,1000000
Count,14716
Base Time Seconds,1670537419
Base Time Fractional,.117474602
Base Time,12/08/2022 22:10:19.117474602
Scan Relative Time,CH115,CH116,CH117,CH118,CH119,CH120
0.000000000,97242942.05452,94571007.2233,92650258.61018,95883573.69473,90429749.81306,87416310.21254
1.555932667,97232037.77848,94590498.63671,92684484.37892,95942095.14538,90380680.98851,87355259.92649
3.649734819,97202625.0465,94510324.43606,92620074.47718,95894486.66272,90278669.91632,87255038.12327
5.070758697,97115202.01412,94491430.65011,92589313.42423,95938834.68416,90259427.96608,87205098.77402
6.492252758,97071370.45398,94427128.86347,92575221.68893,95910798.34781,90233746.35159,87178407.30991
7.913280364,97064330.74378,94366603.98096,92533826.81856,95859406.17614,90184967.45835,87129362.20521
9.334745607,97049200.02349,94319859.30441,92490870.42231,95874234.76385,90115559.70389,87084162.9282
10.755767970,97021306.58355,94277497.38169,92448110.12503,95834953.70124,90082920.26373,87023569.59162
12.177681152,97020220.48471,94209517.46575,92419123.63798,95830555.06059,90019376.36191,87006934.67478
13.598240334,96992915.90464,94184047.45806,92387408.20325,95796006.59339,89949174.74748,86979807.11729
15.020168455,96984981.84879,94148950.97602,92344741.77877,95799971.22523,89940100.16837,86919514.66019
16.441183303,96961074.15137,94100519.37879,92297765.9003,95773761.82108,89893103.68789,86916505.37966
17.862649212,96949500.46046,94089982.02065,92265749.49191,95761501.13528,89836455.07591,86883356.57667
19.284128849,96938386.16961,94048852.83761,92237610.67555,95726522.79518,89793184.04622,86849177.40415
20.705143212,96934406.56069,94012192.95429,92196203.46279,95708256.76014,89745454.9339,86810535.93745
22.126612182,96927469.60809,93981571.78393,92175583.75598,95670209.66156,89744796.35082,86726992.91781
23.547638546,96983459.73353,93919390.33113,92141650.4556,95669398.38887,89699554.19314,86724029.78226
24.969110909,96905110.7542,93942037.8248,92137594.75467,95553683.9792,89620881.08074,86670261.6971
26.390126425,96890103.32467,93899935.37995,92104996.99623,95616023.12499,89600943.28741,86629779.00719
27.812060091,96870207.59629,93866882.77409,92070553.15069,95593646.33629,89574316.78477,86609261.01201
29.232634000,96863370.24688,93883305.93127,92044760.96425,95574138.62309,89525343.40296,86613048.46814
30.654559152,96861952.48885,93850085.75591,91987654.64297,95576058.90206,89519897.34197,86529190.57772
32.075578485,96843648.29199,93829036.20639,91957980.83857,95555675.30884,89477311.31764,86560045.6603
33.497046546,96841065.87207,93808066.67856,91931710.57384,95546323.23285,89438779.7833,86500139.11623
34.918521243,96824762.83781,93796116.94674,91909519.5312,95555309.72148,89410540.97365,86456309.22597
36.339532455,96828354.78572,93778095.38035,91890239.48183,95527401.02178,89389119.36941,86538906.36213
37.760998606,96805979.96032,93770067.99581,91877378.49029,95519805.11835,89355134.7751,86345869.31978
39.182010546,96806295.88071,93750150.37357,91845933.91966,95493920.42489,89346185.97536,86318174.16913
40.603468546,96779990.98673,93747382.24129,91823648.50239,95507089.97398,89339461.02093,86294529.21077
42.024483273,96781167.76543,93723669.81147,91812291.02706,95493290.05531,89304610.92917,86266025.49184
