Style,Full
Append Mode,1
Fill Mode,1
Capacity,1000000
Count,14750
Base Time Seconds,1670017149
Base Time Fractional,.420776936
Base Time,12/02/2022 21:39:09.420776936
Scan Relative Time,CH115,CH116,CH117,CH118,CH119,CH120
0.000000000,96772432.03507,93273386.22462,91557278.25881,95156752.44367,88039134.1297,84577712.79596
1.421925606,96826183.53671,93437448.40111,91611143.78203,95226772.10785,88348930.3104,84720745.56088
3.515276879,96790819.62746,93012104.09427,91568073.02028,95135578.81556,88178714.06777,84702309.78803
4.936751212,96741976.952,93064232.0006,91518866.37883,95109044.99108,88168239.89846,84483812.08614
6.358223363,96702271.93879,92943060.06427,91490130.81689,95131307.51104,88143830.1502,85471727.87727
7.779251030,96676530.33887,92814146.36419,91440253.94006,95121033.85893,88091826.43845,86048740.47282
9.200728212,96670069.09315,92856583.13444,91398174.18639,95036318.20073,88041129.5475,85978998.36704
10.621751697,96674978.49188,92739049.23817,91345549.17857,94985583.36364,88057485.44716,85898572.57971
12.043211636,96662768.04076,92624798.57385,91330764.37031,94985497.71789,87915700.40031,85735630.20621
13.464229969,96667023.70198,92847057.71984,91286038.08322,94946785.65688,87875130.4973,85437393.95536
14.886154454,96597486.26564,92698875.03005,91292070.29103,94977128.72924,87807066.27109,85487437.54843
16.306733485,96588108.28697,92558173.16778,91263839.29916,94934142.62131,87772794.27798,85428133.54851
17.728653424,96534075.98851,92442186.80198,91182709.61823,94924718.60065,87766700.2847,85360804.79524
19.149673848,96525719.16086,92593480.88262,91143018.85759,94923026.91295,87734789.60418,85424430.84916
20.571147666,96537104.20845,92446523.06117,91107192.90532,94886372.84834,87690875.40099,85496877.3202
21.992622394,96538708.20215,92329424.40035,91092356.68639,94845196.76222,87650989.23324,85510898.84015
23.413648000,96537230.63418,92464958.23473,91066517.49166,94822488.0229,87601357.98911,85492666.41787
24.835105681,96535581.32982,92120239.9063,91057923.59569,94812664.29644,87563090.05948,85503830.74142
26.256140045,96511101.93443,92649071.60131,91028695.9841,94819932.01131,87524936.60442,85392517.59559
27.677600651,96494054.84529,92463170.32421,91026147.41197,94825686.2595,87513494.85761,85401932.92803
29.098621772,96459044.95905,92599802.46709,90993381.31745,94837459.32109,87500745.22789,85328023.16239
30.520545105,96454906.01296,92343197.7171,90963045.67285,94829106.07356,87491332.41921,85403098.62395
31.941117833,96438827.64248,92525713.65093,90919113.51345,94800606.71927,87478850.88869,85450698.17582
33.363042802,96459682.12361,92496126.21164,90907894.17543,94774587.48044,87454559.58353,85468232.64239
34.784064318,96463861.36631,92393471.87229,90862927.28195,94746488.45935,87424070.20914,85572638.35666
36.205537863,96463415.54368,92572910.05789,90861399.98708,94729753.90133,87389573.70533,85571679.60878
37.627009711,96455238.60317,92474831.60341,90859707.5855,94741096.53148,87368117.52958,85579188.81679
39.048013924,96435173.82804,92467544.02855,90870958.30643,94709076.26168,87420358.80642,85503837.84533
40.469484802,96419228.96151,92474226.62056,90844953.33578,94735390.42881,87344628.90112,85460236.30207
41.890502863,96391852.58785,92452359.40375,90815320.95118,94722393.32519,87346194.94542,85563667.04536
43.311964227,96381186.95228,92296829.58135,90797471.35034,94728275.19631,87344499.19133,85556630.1797
44.732992742,96388946.7885,92490072.51385,90772042.33605,94703824.96989,87339660.27401,85602554.38595
46.154920954,96399695.96298,92427944.64813,90748141.18769,94667083.21859,87321716.12994,85571562.58535
47.575486802,96404495.67214,92384516.94143,90738286.91124,94663911.50124,87303723.88758,85231920.80163
48.997403681,96403732.00501,92564155.32442,90741281.40304,94662157.89232,87288609.88869,85088547.90304
50.418427196,96389396.06267,92589993.27925,90737952.64299,94653268.85639,87257332.44608,85216880.30283
51.839896408,96388343.86006,92562604.2742,90734705.4962,94665644.27748,87254470.6563,85384704.73709
53.261369802,96375060.30355,92535817.70246,90728358.64807,94674997.41446,87271760.83814,85537250.76717
54.682394393,96365914.96644,92545653.06262,90706490.06615,94672661.0344,87267963.49514,85689188.57794
56.103857908,96360728.32127,92509930.92858,90693904.15508,94659353.6789,87258020.04613,85491512.2613
57.524888484,96362532.96316,92520315.14003,90676332.0148,94647791.68546,87262404.16127,85219337.21218
58.946366272,96366601.82142,92243566.56048,90664803.7506,94641762.73011,87270652.56439,84758231.41187
60.367394939,96366040.5041,92456394.53031,90651127.55137,94609954.27934,87250662.73996,84739467.27874
61.789314878,96377926.56795,92080486.96348,90655118.91392,94594669.77497,87241122.91171,85176202.10282
63.209881423,96374736.53436,92362705.03174,90654769.3012,94602090.09712,87213260.12632,85071263.7673
64.631806969,96379882.02509,92390496.57699,90659327.89547,94605077.82057,87211679.9908,85075216.35714
66.052823605,96352225.34497,92326800.94985,90664786.30619,94627330.47889,87215792.84074,85236479.73118
67.474293060,96326748.32325,92499274.49642,90658772.90291,94648137.41602,87223486.09936,85140610.45632
68.895750787,96303926.33924,92376618.09012,90635444.49056,94634466.71931,87258714.1718,85172142.49671
70.316773908,96328289.26313,91800812.66829,90617191.08827,94630195.3718,87230319.36724,84992151.15995
71.738247878,96359525.12254,91908383.76082,90610019.99321,94589391.78546,87207668.32376,84935251.7679
73.159270787,96369819.77494,92490585.30308,90601159.57533,94584253.94163,87209604.07327,85245378.10916
74.580735969,96360366.77805,92242002.2889,90612103.2898,94580104.28534,87203726.97276,85004256.90798
76.001758575,96358289.81162,92467263.47919,90607165.32336,94585821.84997,87190900.47569,84931253.77788
