Style,Full
Append Mode,1
Fill Mode,1
Capacity,1000000
Count,14871
Base Time Seconds,1669673963
Base Time Fractional,.818973860
Base Time,11/28/2022 22:19:23.818973860
Scan Relative Time,CH115,CH116,CH117,CH118,CH119,CH120
0.000000000,96932267.5367,94243673.36927,92511837.38376,95336546.37738,88432754.68225,84812735.88497
1.555928303,96904559.30139,94382807.89797,92601068.49106,95437379.60476,88452831.21808,84932429.66036
3.649276757,96873901.23135,94286678.23382,92534000.27757,95337649.41429,88413295.59303,84883089.65936
5.070726575,96874681.33412,94277631.72242,92547367.83606,95362376.2956,88389347.48675,84874954.29582
6.491749181,96878432.27636,94293038.89773,92541515.98238,95358271.07159,88406277.17101,84868171.22015
7.913203848,96895415.97943,94273175.34902,92550389.06429,95364577.94216,88395018.71311,84863470.21931
9.334218394,96906587.60659,94288609.35227,92545514.73173,95339660.13231,88392458.72362,84877908.9156
10.756131697,96907561.21699,94289535.76431,92545061.96343,95314328.97332,88398452.56469,84872058.45919
12.176695878,96917286.25016,94281705.46686,92549019.4233,95312717.35274,88403225.10277,84859385.59362
13.598617394,96919960.18296,94274444.53221,92536742.51384,95326493.69616,88412208.05765,84853042.61207
15.019631697,96914054.89493,94284391.22326,92541066.00136,95329911.28539,88388643.52445,84856573.96973
16.441106787,96904288.35919,94284967.30844,92542669.42214,95326081.9785,88400722.82913,84838848.82752
17.862572787,96912887.46201,94287483.93703,92522719.63272,95323141.66536,88379555.92472,84836079.06013
19.283593606,96921385.83979,94271060.28952,92518643.20332,95312338.91044,88377348.26857,84850404.85241
20.705063909,96926369.84713,94251596.34119,92527789.58909,95312325.03468,88363353.71709,84849252.40694
22.126086545,96919261.92792,94252593.37879,92530523.71337,95336814.72887,88357551.95663,84845687.79211
23.547546909,96918223.69279,94264357.41447,92521459.77381,95352554.57083,88368854.46951,84856160.55292
24.968573181,96911472.73301,94218410.23998,92516618.73344,95336533.67139,88351684.6952,84874794.46324
26.390500363,96909710.22287,94232231.77484,92500821.95772,95344993.19459,88357586.21949,84854381.58986
27.811069091,96917633.28125,94237469.25349,92508402.08176,95330534.32191,88236366.41826,84759917.35814
29.233004469,96894590.96352,94152472.77543,92422949.35458,95269144.53864,88272919.36528,84692783.14873
30.654030651,96874138.44434,94111199.40042,92420095.22437,95302080.67716,88298752.79824,84617762.68058
32.075498257,96858977.27155,94067545.76705,92395674.5152,95300480.29079,88268235.11609,84585021.99994
33.496971803,96839624.83746,94011981.52861,92336019.96167,95171942.96698,88215423.96445,84519394.9019
34.918002833,96805480.62025,93951237.57653,92314589.02565,95217324.20654,88151816.60015,84448133.41536
36.339468712,96788177.50453,93945899.32571,92266917.61008,95174782.86585,88112381.52407,84435038.71138
37.760490803,96777265.47346,93877973.78177,92228166.49245,95228432.22816,88049372.07454,84422188.47957
39.181957287,96756584.59971,93839273.05293,92177103.84494,95157343.02759,88035707.54829,84382048.10017
40.602983166,96740196.92204,93796850.51192,92148839.30104,95122763.16445,88006368.35691,84316421.09063
42.024913136,96709037.20219,93754214.61865,92113395.41762,95114765.31973,87969448.03734,84244086.35636
43.445478530,96678624.95184,93732906.74489,92076471.41481,95098186.7452,87947570.20078,84227513.08556
44.867409863,96669759.71529,93682859.80926,92051086.38811,95099292.17915,87913469.15082,84180459.64266
46.288434196,96663824.19191,93639566.19192,92027198.26965,95067176.63389,87892165.75171,84175781.66959
47.709908772,96655769.15921,93612006.60864,91997130.54031,95087163.08383,87864603.11511,84138508.66912
49.131385439,96630409.80127,93567798.06669,92002240.06204,95100914.23151,87756434.92145,84122464.19503
50.552406500,96644845.11424,93589027.44708,91960597.49526,95067751.00534,87812572.68946,84105405.00807
51.973874257,96624095.77416,93570363.04727,91952164.33078,95087941.25488,87745518.40091,84071056.26843
53.394890378,96591464.69122,93549970.75022,91929934.0398,95053852.07112,87778201.6546,84060316.44217
54.816351560,96615574.93362,93547388.6237,91891008.39816,95039192.81996,87768149.73003,84028403.91811
56.237371287,96658835.93944,93571757.05657,91990464.63188,95603319.1963,87970951.06155,84065946.37622
57.659305560,96752639.35813,93432233.47664,91621517.31675,94844464.28693,87662828.43864,83985406.58634
59.079894227,96587554.67346,93543196.07768,91877394.46751,95002149.52681,87727669.00047,84088202.19595
60.501814863,96500544.42028,93479351.1653,91830962.10066,94976713.28416,87730852.01935,84255606.41905
61.922830985,96542033.2922,93497111.12334,91804214.07243,94979427.59111,87644524.84483,84422776.0387
63.344308227,96629470.54103,93494745.94887,91789187.91497,94976189.51209,87715787.90335,84283234.33294
64.765783621,96626880.79344,93500232.48279,91782349.85137,94976677.22035,87718454.43064,84251882.73595
66.186808803,96560131.18558,93471412.62568,91763932.0551,94985188.91917,87710491.82232,84279605.17959
67.608274257,96565692.11579,93457491.17855,91752189.11473,94990326.19535,87685117.84248,84333767.36493
69.029297954,96565605.45584,93473116.06952,91737057.52284,94965633.25024,87684556.36193,84346105.36189
70.450770378,96561422.33485,93475677.20588,91755918.17568,94965170.88315,87683449.10887,84373500.18632
71.871788288,96560496.1064,93431689.93616,91717482.25657,94947323.13798,87707996.82995,84319427.90237
73.293711924,96530542.12143,93410217.70007,91708371.40595,94958901.92268,87684643.43691,84318253.7428
74.714280409,96559756.13015,93443636.00242,91710212.68974,94981577.81188,87674090.86541,84423690.1094
76.136197136,96557579.19029,93456543.86987,91708872.24294,94969709.33183,87685303.03719,84456837.52904
77.557208439,96566741.39452,93457356.4844,91696571.05256,94965746.74497,87684419.7816,84387796.70035
78.978686378,96544117.80796,93423385.9145,91689291.51237,94933185.42425,87684724.78171,84352337.44858
80.400159621,96556989.93951,93429917.99208,91689565.71882,94942971.59473,87664593.09332,84237772.62757
81.821174197,96554128.71448,93433362.45039,91683076.55528,94968958.73158,87679205.041,84207670.15258
83.242648288,96539125.39526,93424366.37236,91673053.61258,94969623.49866,87689200.83492,84232009.36288
84.663679469,96551052.167,93423970.32162,91677236.90152,94972525.57832,87677697.74303,84324631.55796
86.085150106,96549307.57441,93416257.48815,91672782.72101,94964483.85148,87685962.75417,84226816.55795
87.506165166,96554516.50444,93411995.76756,91664184.44845,94963147.07841,87677645.04065,84263188.25344
88.928089651,96547668.85191,93419003.18982,91670562.47597,94942690.37795,87685802.29653,84397620.58229
90.348652500,96552948.01043,93420487.37794,91663518.85103,94943110.45336,87689687.83506,84155920.60296
91.770577258,96542282.26505,93409430.21668,91661216.97342,94960327.77592,87684304.64879,84158354.81106
93.191579591,96531268.9473,93409418.56308,91658784.3316,94952312.28612,87702885.03003,84236077.03494
94.613054409,96527422.17142,93426019.53676,91672578.04121,94981362.4679,87698516.5389,84046074.2788
96.034510682,96535907.09519,93438925.82776,91662072.61869,94981473.87364,87700280.25226,84150809.66693
97.455531045,96552566.90706,93425669.05823,91684267.89613,94942112.62787,87703085.15753,84134992.10319
98.877003167,96547106.32568,93444475.64901,91666778.65382,94961522.17425,87691057.76493,84110316.17358
100.298023318,96554223.71006,93453874.47746,91662648.78567,94975751.71156,87699519.91158,84108048.49211
101.719488954,96553464.78058,93451135.47489,91661742.06104,94952780.17169,87699788.50641,84156267.40705
103.140509500,96553252.31684,93448880.67504,91671755.51544,94967715.79394,87712829.60518,84158170.343
104.562429742,96540917.79429,93446440.04159,91660030.84215,94959759.85405,87711522.90822,84087186.72547
105.983000894,96555026.55121,93441981.48089,91667017.66442,94966395.59842,87723144.97542,84009868.46511
107.404925773,96551238.70122,93451391.14621,91651436.86752,94987447.49346,87733245.0429,84035502.31616
108.825941136,96554290.85583,93445614.36162,91670545.49349,94990422.63838,87736478.00533,84182855.73839
110.247418924,96545130.62522,93434808.59274,91663463.91145,94979203.41014,87739694.43,84200809.99592
111.668884106,96534446.56433,93442426.58225,91673042.11962,95020413.13921,87748249.28963,84245319.87115
113.089912136,96546509.82194,93456975.33201,91675311.54133,95040406.06133,87739400.47878,84091528.66137
114.511382803,96550196.8495,93447998.46408,91668746.6494,95034613.4731,87762534.38285,84128579.61851
115.932406924,96542941.576,93450034.36228,91667747.90248,94996630.01504,87743490.23957,84184224.2406
117.353873924,96557075.62188,93453737.76465,91671166.96259,95026196.27484,87744970.58149,84379900.02689
118.774902712,96554223.70374,93456774.27826,91661468.97289,95007618.73912,87755739.8107,84225004.8795
120.196825848,96544073.14798,93448336.93776,91661659.52436,95013434.46553,87773867.56075,84142403.3395
121.617396242,96539879.347,93440927.96798,91655930.9372,95014211.65556,87770381.53806,84206031.73842
123.039324060,96556376.61376,93459227.36659,91652110.20183,95002655.68063,87771847.13914,84158452.34127
124.460339181,96562151.66679,93476579.78761,91652684.48978,95001341.96479,87791838.71159,84246776.43483
125.881812575,96564822.97634,93462981.8181,91654600.91158,95019851.32756,87776314.47316,84138131.13922
127.303276939,96576833.57043,93466874.41631,91654522.08439,94996494.09053,87767124.05958,84128972.38712
128.724303757,96594406.63814,93475842.96327,91650216.93157,95035499.4266,87775814.69438,84066145.80306
130.145773030,96586259.06001,93474473.86659,91645045.46233,95070808.38791,87769148.44317,84222546.34756
131.566794302,96587155.17539,93495679.92409,91662916.50869,95070952.76566,87769749.08945,84209931.22313
132.988273575,96597271.90272,93491017.98293,91660865.94584,95092276.25304,87778269.16659,84219895.06149
134.409293211,96601250.82231,93484797.17104,91667916.71428,95052017.95137,87787777.99202,84169306.31312
135.831217696,96607365.57725,93481895.41338,91662769.50244,95009170.99407,87790136.38773,84195945.57125
137.251789363,96594369.80526,93489224.6678,91674604.38161,95045740.47869,87802701.3465,84070006.43013
138.673721757,96602042.5044,93482407.51704,91682391.79041,95031013.68156,87805125.07197,84032878.17926
140.094741636,96601233.35312,93477860.2775,91681561.77995,95052534.08101,87797857.69413,84016234.13527
141.516214939,96601741.95139,93498861.82517,91680360.72686,95032417.10096,87793824.58794,83975911.924
142.937692302,96595380.57343,93485851.07666,91683519.27113,95063743.72159,87799763.43939,84072384.05061
144.358707969,96592675.07626,93472620.20241,91683078.20064,95067986.41828,87814457.61796,84035925.13239
145.780179575,96592315.97384,93500836.91392,91697307.54696,95067649.94723,87830401.20214,83976629.57485
147.201196484,96604155.61395,93490432.73881,91689005.61549,95062196.29525,87828544.90426,83995172.61842
148.622655969,96598223.26411,93486760.98194,91678850.6941,95028096.601,87820454.04016,84020722.37592
150.043675333,96600110.64246,93497853.56764,91677145.73843,95041955.41393,87830096.22693,83973820.86044
151.465597787,96604908.98892,93476095.98587,91676771.50588,95048642.8609,87822846.69151,83969034.07275
152.886167787,96613121.35989,93470767.57724,91682393.52819,95062234.43256,87833292.41137,83908397.29606
154.308084999,96602947.93432,93484221.93629,91672317.96871,95109937.03316,87830740.87842,83978893.5839
155.729095333,96620686.59763,93485451.24189,91673493.29377,95083647.3079,87810848.30247,83977332.98004
157.150567363,96608061.48253,93477420.59081,91680127.16965,95066607.55146,87823717.5078,84055713.9934
158.572025484,96586562.92606,93469929.66861,91683713.86205,95081291.00842,87832025.49051,84046577.42964
159.993048424,96611472.19804,93465924.2305,91676431.97262,95073160.75583,87834024.4583,84042446.60993
161.414520999,96605122.04397,93478482.64127,91686192.86284,95067273.33791,87828479.67873,83968891.54369
162.835538212,96624959.39264,93500518.69362,91688172.32121,95046845.25637,87829800.63067,84069512.34884
164.257001424,96613900.05074,93492672.80262,91694530.56058,95104684.4099,87832201.65192,84008590.54369
165.678023909,96617028.48887,93504903.02538,91696198.53226,95013738.64896,87821856.95986,84039179.21815
167.099948181,96626338.8489,93521513.12709,91706780.0471,95096656.40397,87828007.03274,84079058.62705
168.520515818,96619123.81237,93504877.25633,91696376.49154,95061635.27494,87842987.88109,84026609.48123
169.942446333,96613286.7033,93502956.64404,91693504.46141,95102721.48447,87844818.63344,84012005.27007
171.363451969,96614149.71843,93509222.4538,91696994.42129,95117571.41293,87848152.11094,83956896.36365
172.784908424,96611744.74695,93507383.8137,91704281.61803,95120692.74077,87857851.93779,83973542.47454
174.206366424,96609275.59886,93498872.91877,91705502.77226,95092985.93545,87872682.37544,83940929.63494
175.627385454,96607331.55621,93501484.60578,91701779.83352,95093587.76627,87872250.94568,83933215.67585
177.048850515,96621763.54095,93511186.9275,91694358.16297,95084815.93281,87868763.08182,83915204.68595
178.469872666,96608593.1262,93505876.42951,91701037.87008,95091780.45968,87880861.09241,83927333.98086
179.891341409,96612036.70818,93485025.67906,91700351.33015,95084741.00152,87880962.71759,83948566.61649
181.312364470,96619239.81657,93485850.41273,91702966.31269,95080857.96223,87884971.7007,83930971.23935
182.734294227,96622543.12812,93482387.53276,91698194.12447,95120728.34778,87885409.39601,83970166.72409
184.154851197,96615720.89792,93492510.36572,91700842.80995,95078149.84235,87895610.90905,83965168.32038
185.576771985,96627278.53187,93512078.91525,91700852.13251,95117177.93938,87905140.58698,83986651.86359
186.997784955,96622706.47354,93504976.03071,91698921.02006,95098471.8669,87890840.90855,84017679.49295
188.419265076,96631339.53503,93499793.22464,91696825.36863,95086195.47074,87889305.99646,83982568.60564
189.840728530,96640427.68799,93504093.32759,91695859.87977,95092336.59839,87901077.0555,83980774.00068
191.261755470,96636423.54282,93513900.09294,91704210.5774,95088380.78356,87887112.03489,83962403.38073
192.683230803,96635539.51172,93485423.38182,91698951.12351,95079351.64748,87888278.34784,83980222.49724
194.104248591,96646232.28513,93479651.21279,91711850.40232,95099166.41487,87878360.21739,84015427.93704
195.525719167,96637229.89369,93502585.19875,91715926.26022,95086975.8567,87889383.36589,84041088.66336
196.946737318,96637013.61063,93518013.58423,91717256.68579,95088147.29331,87882669.98538,83967179.72255
198.368657379,96653052.72322,93518998.33787,91718868.91385,95083108.58968,87891621.24317,83950805.01642
199.789215924,96646858.74919,93523782.78636,91723149.94921,95080778.00124,87891910.1369,83963607.23119
201.211139197,96649829.63484,93518936.04997,91722086.21977,95066142.99418,87886717.23493,83971993.28201
202.632147409,96644462.35802,93537239.22784,91716910.79359,95080096.09947,87880542.94431,83965238.7925
204.053614864,96644713.70929,93528461.88027,91721604.4488,95104047.74503,87899640.6023,83966309.85181
205.475077833,96637066.54778,93527749.37596,91724352.08547,95119283.5958,87896434.93992,83987441.55465
206.896092076,96650217.49429,93531798.94907,91718124.37222,95090072.40577,87897263.42009,83930106.75462
208.317562652,96636058.70048,93515661.89791,91719002.11845,95086078.7382,87909809.18259,83937847.74652
209.738581500,96642931.10407,93513962.95772,91728072.04976,95118707.64912,87910094.70183,83881431.35099
211.160041076,96637176.19968,93505029.38912,91715671.06722,95124426.75248,87906204.53806,83889667.47837
212.581052773,96625893.95742,93534727.91371,91749400.79476,95147266.68959,87907788.72586,83984000.35504
214.002971864,96629439.43535,93512507.35122,91728861.57104,95152228.62825,87959194.01332,83991068.89867
215.423536621,96661890.10309,93488252.38816,91697358.2017,95087635.44179,87926319.84914,83958692.91157
216.845454864,96625205.72186,93499617.4149,91702358.4579,95093480.71644,87921760.18376,84006744.37719
218.266463682,96618614.40838,93512001.08292,91707197.97696,95094708.47063,87920029.38029,84013321.12908
219.687930652,96612904.07422,93507879.79854,91726057.29699,95069313.19478,87914899.69123,83993692.78477
221.109402682,96639234.21627,93502275.70342,91699725.05522,95070029.1963,87916252.9071,84012299.1633
222.530429197,96636266.10482,93509948.59454,91695804.99279,95068112.24601,87921560.35884,84023779.32784
223.951890318,96610304.90991,93500830.21009,91703058.89627,95088503.60312,87941474.57963,84029102.22903
225.372916591,96642003.4896,93519359.67757,91721123.27348,95111785.46912,87939854.45942,84048504.45095
226.794384803,96635645.56116,93484924.94415,91703943.07483,95066668.96756,87933999.22069,84005456.32711
228.215410985,96642314.67042,93510279.807,91706832.54295,95080333.40483,87903920.14614,84053491.44873
229.637330803,96645751.28422,93522653.46033,91727235.44731,95106584.47217,87916952.29328,83988499.62543
231.057897864,96644214.2973,93523455.43606,91715245.48619,95068625.07943,87928689.52709,84054340.81939
232.479827409,96622761.8861,93502108.80966,91723024.30929,95064573.61865,87927639.91928,84037672.45733
233.900838167,96638189.52838,93510651.37827,91713921.4552,95086685.47655,87928922.98608,84075249.15862
235.322310288,96624783.06973,93504468.57727,91717643.46235,95089647.72353,87930504.42684,84035081.78637
236.743779955,96631680.81477,93514580.16877,91718338.76048,95091064.88252,87928167.57931,84000519.70585
238.164795470,96643814.96451,93499044.67032,91718482.2814,95093849.31044,87924924.79059,83984925.87821
239.586270090,96649144.98875,93511015.63005,91718603.90602,95103549.35624,87919012.15754,84027392.06896
241.007285818,96636528.95701,93494042.17942,91717626.72781,95112491.06372,87921282.85754,83969030.32309
242.428756060,96641052.627,93507767.8312,91700112.6121,95109096.33256,87931882.266,84008139.80819
243.849778484,96642222.65877,93524455.25291,91717409.24054,95095215.76111,87931046.23204,84052736.74638
245.271711454,96637732.54844,93513236.80433,91709506.55695,95081848.8577,87934993.48854,84126996.40672
246.692276211,96638620.74745,93514626.39111,91698362.31902,95064274.13666,87946682.78673,84109181.97121
248.114210636,96655906.71177,93499072.97063,91693127.80946,95085963.01257,87947615.51488,84061822.52332
249.535228060,96635210.87364,93494489.24454,91701520.58995,95091210.51029,87937063.85525,84124832.17074
250.956694151,96633886.81832,93497545.74587,91710634.55935,95077208.30757,87941641.87908,84110683.10727
252.378160636,96643504.24719,93502273.72883,91693325.21234,95098229.31245,87927880.58776,84039561.01111
253.799190666,96641243.57326,93514018.96547,91678127.82215,95111781.56173,87961958.34044,84085872.42166
255.220647090,96646375.01376,93523384.94287,91710112.05084,95085343.07676,87923088.32874,84074460.96328
256.641661545,96640351.84937,93517729.12409,91715166.52402,95076658.68054,87935704.94039,84145165.36629
258.063131151,96644553.57414,93507153.51342,91703096.48275,95096496.24577,87950770.8426,84089727.39167
259.484157484,96638009.17506,93500705.0549,91712813.70396,95102952.67936,87935314.49104,84041440.0106
260.906088151,96637869.74792,93501001.81347,91712998.84461,95083394.23191,87937022.53083,84093966.21548
262.326658787,96641839.91562,93510295.37464,91713194.26094,95088938.35047,87942426.31238,84126069.08852
263.748576818,96640142.91969,93502827.90458,91705337.83054,95091370.59307,87935368.66402,84098629.88355
265.169587999,96643572.01755,93509821.51749,91698860.42998,95099166.60633,87929807.77558,84378547.48979
266.591064969,96644938.26591,93522280.34647,91708831.14887,95103089.84433,87911091.79887,86865332.09094
268.012533515,96645082.87498,93516238.71983,91693246.63802,95115404.18723,87925120.49282,86739650.94018
269.433562166,96642840.57234,93510580.3634,91704650.13211,95107722.14843,87919795.24101,86657275.78023
270.855037833,96647216.03109,93518330.20929,91708728.11182,95105210.87123,87928552.50915,86898228.88161
272.276060014,96662862.51043,93530259.93657,91706030.16703,95108666.28009,87932931.17176,86897540.01066
273.697534439,96656601.27378,93504351.98636,91692386.43194,95084440.5594,87924851.66735,86968523.11644
275.118567196,96649986.84807,93516577.19207,91704656.5583,95049363.42412,87928829.41878,86910185.13743
276.540485257,96639072.07478,93505676.25754,91698664.99182,95061801.41727,87939591.6153,87509820.72844
277.961053045,96656971.55523,93508369.43772,91703658.2083,95082837.03678,87926852.09304,88007898.39151
279.382976833,96654425.24276,93506527.97059,91699629.99021,95085379.69367,87934591.80928,88179154.51158
280.803988318,96651222.71557,93514043.66288,91693213.423,95069596.41163,87926642.42431,88233844.50324
282.225452530,96667741.29953,93526703.07276,91699783.78375,95072263.14066,87905793.36622,88571077.01999
283.646917257,96658164.95572,93517215.82372,91707084.20022,95093706.25163,87932388.31371,88531211.83912
285.067935075,96656526.41735,93517186.71171,91709419.67616,95095704.38456,87929584.14459,88528644.74612
286.489407469,96650075.85003,93509631.64184,91711729.11467,95068637.9986,87920084.52873,88581860.22523
287.910423499,96643549.86889,93503348.5203,91711736.63048,95096862.21799,87922170.68866,88496974.65311
289.331902530,96641368.44263,93521762.86902,91712687.26881,95092629.14075,87930927.10112,88420463.9626
290.752929287,96641719.55041,93537208.66097,91708948.22081,95106830.0831,87913537.39849,88639880.70588
292.174847954,96642920.33477,93519951.10127,91712531.5872,95109168.33725,87931719.64012,88821147.71648
293.595416075,96644308.54533,93519970.56554,91716815.84699,95115517.9531,87921848.419,88793821.99379
295.017347318,96645913.42989,93507325.63021,91706621.84038,95118654.50354,87941530.90169,88607994.8469
296.438357560,96638547.01525,93496958.64235,91705381.87148,95078881.35336,87932339.49638,88340448.80014
297.859836742,96645400.2893,93518266.05521,91689568.38135,95100384.44997,87925780.43612,88049411.31976
299.281305242,96646263.82538,93510372.20963,91698189.74393,95106404.87571,87925843.5534,87825644.2001
300.702325242,96648103.58069,93512241.29783,91712416.0684,95110117.22661,87922008.83868,87824799.55339
302.123794999,96643583.44324,93512058.36134,91704204.38896,95053644.53267,87932147.0158,87875722.11292
303.544815242,96634258.229,93490043.38378,91703238.75941,95071676.90622,87926786.16673,87874125.04566
304.966283999,96643871.59458,93500945.10951,91707686.67954,95097634.74587,87921933.49891,87842795.30772
306.387308666,96638599.04687,93505124.66624,91697929.11197,95103774.29158,87931229.96577,87775492.51659
307.809230545,96640143.30809,93510852.90661,91708136.94266,95114256.54816,87931741.51015,87812483.32748
309.229794696,96645435.78012,93503894.17807,91702143.86041,95091029.74968,87928658.71446,87938748.89592
310.651722030,96633597.38355,93514065.76363,91699045.93923,95116847.28044,87918859.33583,87849938.97228
312.072744302,96640806.1227,93522423.4436,91703314.03366,95099778.47555,87925856.32711,87776851.27683
313.494225696,96630900.08598,93512037.8853,91700777.94673,95079205.3991,87924658.16377,87821854.40868
314.915697969,96644470.81563,93504717.06733,91702220.69196,95116820.83094,87917035.77869,87795242.76053
316.336725211,96636965.82578,93510066.08374,91710838.14083,95119405.91505,87932914.83449,87842884.56251
317.758185787,96629546.9508,93500971.02484,91695764.56079,95111776.24427,87936120.32204,88072596.97064
319.179206908,96626602.83621,93478950.96278,91694408.40116,95113341.57996,87937966.77447,88043340.37792
320.600687696,96633794.10579,93478791.18948,91687410.0089,95133847.47016,87926996.82217,88181590.32505
322.021702060,96632500.86305,93492270.94865,91698412.83842,95156534.84979,87925735.93559,88234579.78189
323.443624121,96637005.26171,93485977.81996,91696476.07128,95146555.18367,87922401.06189,87993429.18498
324.864187030,96642033.00802,93483445.29939,91696502.36873,95132933.7271,87919022.8339,88255135.59254
326.286117727,96654803.36743,93487657.2814,91696294.75288,95125528.80515,87923452.25559,87764951.77079
327.707126121,96639061.06845,93500555.63928,91693285.67421,95136558.26831,87915981.06902,87632850.43586
329.128601878,96647252.34617,93499071.70922,91692255.19621,95140636.7344,87914431.43807,87555734.67284
330.550070394,96636411.44443,93502472.80062,91703856.48439,95140088.00131,87927409.91324,87649435.78356
331.971094182,96635297.41742,93497820.26539,91693999.86574,95145116.00482,87919186.80363,87616146.3917
333.392567667,96629989.43167,93513274.47612,91703609.30888,95125403.207,87912594.15492,87382435.6108
334.813580242,96628038.60669,93502134.789,91701050.64928,95154160.07327,87923710.37785,87384271.55445
336.235040667,96624007.51732,93490910.93792,91715117.37683,95149281.78931,87919466.69822,87340212.62353
