Style,Standard
Append Mode,1
Fill Mode,1
Capacity,1000000
Count,14729
Base Time Seconds,1669760042
Base Time Fractional,.794266042
Base Time,11/29/2022 22:14:02.794266042
Scan Relative Time,CH115,CH116,CH117,CH118,CH119,CH120
0.000000000,96739498.54761,92832382.82521,91379258.06459,94994189.17921,87845072.51622,84795322.79756
1.421014182,96688914.79408,92906187.52942,91509910.40961,95030976.54758,87927916.66746,84807497.92945
3.514816303,96628989.82036,92859837.18156,91446100.53569,95076333.96785,87843161.22145,84717835.42495
4.935844424,96617989.31877,92853895.78097,91440994.3146,95040969.74652,87839127.86087,84602279.195
6.357758970,96613064.91387,92843995.29828,91444946.90366,95034659.02137,87811634.55555,84496040.19222
7.778330273,96602049.35118,92829804.47943,91417785.04819,95014383.89587,87783606.81626,84299374.99779
9.200255697,96604927.95152,92828434.09317,91427355.09166,94987802.67241,87751642.4846,84355212.20007
10.621276424,96600857.33913,92852799.19554,91421439.9423,94982781.72402,87750084.94736,84354598.46967
12.042742000,96590245.86929,92844454.3803,91388951.6445,94970981.10813,87722682.16315,84470871.82502
13.464215212,96588248.23075,92818134.70368,91394582.91476,94983364.21852,87704000.83587,84439120.7716
14.885235515,96624226.35497,92830602.17575,91375392.02834,94934200.60407,87691246.36466,84268488.60588
16.306699666,96597457.87498,92843425.41968,91374122.26014,94956637.05491,87659857.53209,84206351.91436
17.727715303,96617275.26907,92836832.27202,91360662.98401,94938932.26304,87677188.28004,84233812.05901
19.149187151,96607856.65425,92889544.41484,91429954.97614,94508016.56189,87546277.29969,84204657.93259
20.570197212,96611041.83494,92828072.0344,91333290.53077,94877671.57227,87638642.2767,84316839.37325
21.992121878,96588024.60707,92863302.84215,91319201.98122,94877469.09874,87616432.2234,84159219.20089
23.412697606,96580265.92808,92817412.00621,91304277.33477,94881996.4425,87619363.8334,84162171.31665
24.834630757,96587157.33114,92820049.63316,91290549.02405,94854965.47262,87603122.11426,84163095.52037
26.255652939,96592803.62714,92794540.84173,91283476.04398,94865382.8644,87591831.38779,84150314.54521
27.677128727,96597437.1071,92837693.24094,91267304.74416,94861913.52545,87586753.37255,84059059.75401
29.098599545,96585574.59284,92820850.38606,91260458.48813,94845339.08179,87578594.57338,84233041.76269
30.519630303,96586032.94732,92815155.63658,91243730.62498,94824602.15753,87564420.73817,84237150.64946
31.941098272,96571226.95968,92802539.07685,91235782.2162,94853769.9949,87566723.62566,84316299.06042
33.362126788,96574714.01085,92800953.96819,91228039.44527,94825756.21381,87540978.69265,84298161.87469
34.783595909,96570641.58155,92788896.93627,91218328.67138,94828909.36653,87541123.31205,84242136.84789
36.204608878,96572881.57475,92738390.71895,91203069.15969,94809739.22916,87536665.63607,84158939.81128
37.626531969,96573063.27474,92752778.87354,91190596.44934,94800111.05306,87543939.91839,84219275.73638
39.047095878,96588063.75477,92781996.81565,91184132.46719,94789471.28576,87466875.13734,84315737.35173
40.469012151,96604464.69479,92769051.62296,91198602.17755,94796205.98715,87531304.1274,84352636.86626
41.890030121,96564144.20497,92778091.24536,91169393.47107,94792296.40179,87537161.85158,84456011.41473
43.311503272,96564995.10841,92776971.88219,91168048.70627,94796179.13374,87534193.71929,84197230.05058
44.732965333,96562742.64802,92778548.95686,91155179.37107,94794035.062,87525064.51569,84252209.38955
46.153978333,96564605.46809,92775592.75149,91142103.68627,94800889.22459,87525181.9716,84212587.03054
47.575458181,96557134.81636,92763020.43402,91139346.01182,94786447.39427,87528829.48929,84216612.78633
48.996484939,96562195.8572,92741991.08693,91132227.28154,94774897.16771,87532854.55438,84212644.30893
50.417960363,96549739.04274,92740874.98241,91136191.1883,94817221.65133,87525916.75028,84359273.92844
51.838984636,96538006.53803,92731822.74316,91127367.78344,94817413.22562,87512614.7395,84291389.26137
53.260897000,96536945.32903,92735041.66328,91118432.97892,94815927.02978,87523041.05716,84208113.33996
54.681462484,96527301.80607,92721808.49695,91113099.76066,94793059.45949,87527300.56597,84186182.55379
56.103373333,96519406.35449,92734518.97896,91105608.46245,94820020.66945,87551450.57647,84280815.95402
57.524383424,96518693.26359,92706102.0674,91104735.86955,94798196.59529,87536733.6762,84185887.77227
58.945850939,96515534.62592,92736043.45909,91106345.91342,94820857.45226,87543268.29432,84300288.38397
60.367318484,96523432.27541,92705357.25288,91097241.85064,94795075.81677,87548798.26108,84250407.12214
61.788326484,96486646.15877,92694771.60326,91109120.1379,94785222.83693,87518741.48035,84260609.58473
63.209796212,96495796.13982,92695154.70114,91100713.79511,94777346.05488,87528427.98659,84237678.21775
64.630811272,96503534.58326,92715030.15305,91104033.17759,94764928.63146,87519052.50538,84273638.62438
66.052271484,96488096.51899,92682736.74981,91102091.6876,94796193.49505,87527450.75377,84296284.57605
67.473298424,96485583.98684,92686498.01217,91109247.02022,94817162.62866,87506298.45007,84265005.49677
68.895222121,96501091.44114,92693898.76105,91105414.82544,94804137.2667,87515108.37019,84240871.77497
70.315779060,96492916.95383,92702645.4499,91082197.93964,94821457.28199,87508422.12501,84218639.79582
71.737698000,96494371.89072,92708700.03522,91098167.50462,94811867.20909,87500507.66544,84138145.91899
73.158704212,96490593.98339,92715713.08378,91095000.71628,94817107.28177,87481141.97239,84167344.69784
74.580178591,96502156.55508,92685894.36325,91091835.21823,94823502.74929,87489602.25562,84207054.67744
76.001651864,96487019.60714,92680991.81121,91086708.95612,94803613.10991,87485015.11788,84248117.97644
77.422671742,96480145.52329,92687293.08845,91085480.94577,94817284.93424,87487148.34163,84221094.41899
78.844149561,96484169.84091,92689170.02193,91077161.07164,94814272.94551,87479334.87058,84278850.85034
80.265175742,96477308.96122,92696629.79481,91083893.46073,94816503.90611,87487629.14727,84208935.09639
81.686646470,96471394.86494,92687288.9747,91074881.09911,94813333.60963,87468984.06647,84277955.37802
83.107668348,96472184.05253,92704888.87983,91072123.94964,94819918.89058,87486785.54841,84259894.25801
84.529591651,96484086.13938,92689705.06633,91067332.72454,94793130.91951,87491728.09413,84284291.93118
85.950159167,96478023.01483,92691298.61509,91060717.55015,94761218.36495,87490730.41315,84198220.83406
87.372088197,96484799.81365,92694115.30595,91061579.29621,94801127.11046,87492813.14087,83834789.48277
88.793098864,96468695.94352,92685810.55272,91063133.79223,94799997.98156,87483264.24691,84297941.43089
90.214563591,96494788.69852,92681010.36816,91075563.09854,94804840.67234,87501485.29793,84212382.71023
91.636035530,96474147.21404,92704052.61449,91055464.69453,94768768.09027,87465745.47275,84220682.90395
93.057056136,96474293.59488,92686175.49175,91073646.61146,94805832.42564,87474748.33763,84212568.29511
94.478531682,96457492.9866,92647511.47168,91058580.12915,94793708.4968,87459891.49581,84163479.41102
95.899553045,96468718.58836,92655531.60416,91052552.1671,94804137.64995,87453564.6774,84312753.75264
97.321025197,96483623.77283,92695212.02165,91054524.53094,94788996.27458,87462467.68152,84207397.78577
98.742043954,96477036.59035,92685118.33608,91048044.55766,94745199.72549,87450586.83474,84025373.67392
100.163971954,96469462.37444,92677925.21507,91054527.85936,94763584.21915,87454625.85281,84081117.66752
101.584547227,96464051.50246,92670025.13894,91037619.36058,94771678.5293,87462853.81655,84168932.59423
103.006471894,96476235.47152,92666807.36894,91041493.22373,94769416.0835,87454990.29255,84167686.21766
104.427483287,96471668.14363,92680742.54314,91031759.40029,94798676.42111,87458456.20628,84185337.22846
105.848946166,96470933.87193,92674054.78221,91037865.32642,94786021.38903,87456838.2489,84122631.71361
107.270415469,96462451.0845,92685303.01492,91040145.92973,94770908.23521,87462666.78644,84123032.0654
108.691449287,96462395.55961,92693444.83924,91046370.75863,94815676.16324,87462583.98271,84123659.48434
110.112920530,96455840.86322,92663856.1079,91036080.59616,94798658.19419,87464865.32283,84082792.454
111.533939530,96453112.29919,92672165.82099,91037293.15396,94795422.63978,87455232.99861,84111895.02278
112.955403803,96460975.98127,92685724.10855,91042018.40435,94782259.97499,87448152.1558,84096875.86611
114.376416742,96459358.81051,92668437.09734,91030842.16391,94773414.3188,87449552.52261,84006854.4368
115.798334924,96457262.23897,92672280.60547,91033262.38398,94768157.75145,87446161.05442,84031249.23672
117.218899954,96451642.6561,92712369.73962,91025465.32251,94792945.22008,87445464.36368,84069470.01215
118.640815560,96459940.31261,92663778.12074,91030127.17956,94770448.33425,87440551.24145,84169945.7703
120.061834045,96440435.95449,92655313.67307,91027135.19791,94777518.75555,87433144.89742,84093056.44385
121.483301530,96461090.1681,92685852.12679,91034573.67719,94743954.7376,87416479.79767,84039539.87128
122.904760772,96457730.45569,92679371.67035,91030635.96364,94769050.64536,87424005.51456,83996765.78598
124.325784894,96450609.22446,92685098.37447,91017980.25609,94768612.0273,87427453.05581,83981965.57782
125.747238378,96452420.56517,92657941.48408,91021205.11148,94767033.02344,87428135.47288,84019801.21999
127.168264621,96461037.67373,92669339.27249,91019344.23639,94779718.16214,87432534.95207,84067069.98403
128.589719772,96456833.95317,92664384.44334,91017219.93537,94748371.62372,87426397.4125,84058174.79826
130.010741257,96447945.77916,92655644.27455,90999634.71729,94747179.85965,87434706.81105,84090158.9872
131.432661500,96462628.02225,92655970.62078,91012987.96439,94759418.69996,87420889.25079,83941746.36541
132.853222681,96456764.96244,92659749.06331,90995348.6444,94770451.11744,87423685.00922,83884855.007
134.275146651,96457667.23288,92681893.67432,90987117.02329,94770068.86966,87417535.54278,83834062.9969
135.696163651,96452533.38185,92647419.90892,90987402.26961,94770264.25908,87427196.86795,83749576.13493
137.117643803,96455747.09737,92632761.4189,90986574.66191,94780579.50502,87427782.97125,83771095.16804
138.539095136,96464591.1739,92642638.14297,90983107.41828,94773791.14726,87426072.29548,83756212.12693
139.960109197,96462259.95337,92633816.84289,90982306.66389,94747593.77059,87417099.10844,83765001.77719
141.381577197,96475034.02214,92641627.15007,90974064.85321,94748162.87081,87404680.69793,83726575.75574
142.802608045,96463346.07165,92634558.34817,90976442.57471,94756011.62328,87416019.52562,83711978.60833
144.224081257,96472179.05736,92658678.53824,90980116.87886,94716465.0494,87401493.28817,83804014.22037
145.645107894,96467476.30445,92656182.56658,90984728.5363,94757733.91485,87410422.23964,83730398.12022
147.067031560,96453997.63516,92648073.0815,90978503.50997,94763707.81376,87406070.9997,83729292.30718
148.487597621,96465686.73151,92658178.62133,90961224.28441,94719127.70266,87399926.90391,83779872.29125
149.909518894,96464678.83264,92668577.96504,90971497.05155,94718690.38547,87398449.34166,83825067.77937
151.330527227,96458333.83032,92666031.73675,90962646.84498,94731574.99248,87392329.15072,83820415.01605
152.751994409,96477958.83004,92666796.28533,90961660.73299,94729039.60964,87393369.60495,83778743.65872
154.173464106,96469170.18264,92677150.61347,90966170.72343,94700312.82681,87414931.94102,83826119.03995
155.594485712,96466074.42264,92648188.2885,90956152.28001,94732626.56342,87392987.81518,83723348.4554
157.015953682,96471016.02609,92644996.26322,90961144.70096,94718851.10082,87389034.30985,83763167.80355
158.436980348,96468979.37795,92641277.97012,90963151.53939,94717014.67949,87389048.08962,83747512.30089
159.858442985,96481936.2991,92634393.19763,90963754.57831,94710704.69488,87378868.84487,83753978.96431
161.279470439,96472046.88428,92639027.24756,90955316.66714,94705435.43822,87381538.19069,83727831.7387
162.701391530,96487087.4376,92655736.2802,90941907.73746,94709193.64235,87389207.98503,83733161.88983
164.121962469,96471324.68051,92645738.3851,90938695.22595,94709671.59193,87376649.30062,83691195.88414
165.543887742,96474702.81203,92635272.77312,90931505.7884,94691589.27189,87379305.63285,83697766.86063
166.964907499,96462908.79346,92629188.96153,90945332.39538,94701583.92859,87367829.88624,83699251.89641
168.386371378,96472659.15877,92626161.73692,90949629.04821,94700014.00882,87348695.00592,83676962.71193
169.807840227,96472416.17834,92624746.19432,90953290.19698,94682072.46963,87385159.6937,83674638.81052
171.228866530,96463652.26673,92642901.74215,90936148.3771,94703294.59868,87377644.0082,83683566.15484
172.650339166,96460317.09571,92630625.89725,90951655.04508,94678949.63714,87371160.84397,83620472.22683
174.071360772,96470831.8766,92633068.99123,90944385.06968,94703097.50343,87364418.59188,83660314.28689
175.492825621,96466837.39184,92626997.80282,90946543.86208,94686311.18487,87359692.11616,83655166.88045
176.913842772,96472632.49375,92630992.20433,90948783.32441,94699637.8006,87358996.66243,83676731.77895
178.335752196,96463321.02981,92646264.14064,90947931.24466,94722376.19589,87345071.80061,83644037.19726
179.756324409,96462472.81126,92630677.73741,90947775.77727,94704571.19837,87323437.83092,83632891.61938
181.178249802,96458799.97923,92627195.92792,90938004.40673,94706478.75928,87335893.2246,83675328.80372
182.599268924,96463238.55838,92634025.65154,90944281.49256,94686350.14442,87323629.43654,83673470.02425
184.020735893,96461680.77642,92637334.43356,90943828.81491,94697895.4938,87342093.6567,83626972.01433
185.442204893,96452557.24231,92630496.61693,90941778.3314,94694214.87439,87331087.50314,83652424.85651
186.863227530,96454186.09494,92639135.55267,90945496.91259,94729186.36671,87324330.16347,83619493.23545
188.284692318,96453029.26111,92646215.64357,90945391.37941,94700786.97396,87332771.9208,83630312.61645
189.705712530,96442048.55162,92628304.79457,90947301.35014,94722371.26468,87336553.68171,83615888.69965
191.127183863,96438101.50082,92638636.08483,90946453.82153,94705466.26867,87329334.81289,83712484.61751
192.548208802,96440439.08478,92642642.87408,90953350.1902,94726849.29324,87317094.28872,83649920.29472
193.970131136,96443785.6305,92629269.33197,90946531.91321,94704016.92055,87329792.8413,83692535.98369
195.390698560,96438756.01193,92626526.10957,90945965.58582,94701619.51037,87333980.4117,83672168.75567
196.812616651,96424654.07614,92618982.63731,90950311.8421,94714070.35783,87318419.52451,83655361.79424
198.233628530,96430616.47255,92606257.41966,90937035.28897,94743028.74862,87321913.97395,83665285.26884
199.655091075,96422991.17003,92621740.11343,90936183.46037,94739572.82102,87324476.98323,83607760.9193
201.076573590,96412697.74794,92610364.29971,90937815.51641,94759030.25963,87324887.87097,83496420.68946
202.497588499,96415731.76371,92624488.76453,90928791.64415,94724054.7538,87326621.86391,83552008.98798
203.919060045,96403477.82589,92608136.42679,90931801.9947,94742083.91876,87322608.63811,83559451.96783
205.340081499,96408132.26691,92618274.48651,90937719.32334,94726913.70075,87313172.97663,83747355.01064
206.761544105,96410875.92633,92611976.93909,90923693.42769,94730737.1787,87337278.40994,83865053.76501
208.182571590,96409368.87996,92617618.80753,90923168.05441,94733510.48916,87325249.18993,83823080.54826
209.604493015,96416830.78856,92604839.9306,90927022.89052,94729951.82569,87314161.38607,83940778.58308
211.025061651,96417756.44657,92605761.58375,90922072.43244,94703621.06681,87335866.93363,83802487.77698
212.446983863,96422186.08635,92604425.48048,90909929.99408,94699736.88657,87328739.30807,83809978.88626
213.868000469,96420371.66056,92582349.17988,90915112.30904,94717265.37665,87322343.41535,84206936.78215
215.289466802,96418684.95943,92579673.47211,90903671.96031,94707172.21519,87333040.24044,84166937.0361
216.710928924,96413809.9229,92600222.85815,90915112.29252,94691630.93339,87333808.42922,84171285.70061
218.131946318,96410355.57049,92583271.44129,90916837.09133,94689210.2021,87311312.72134,84107868.73162
219.553418530,96412959.47909,92580351.02487,90926449.19264,94717489.8526,87310377.58464,84006123.28195
220.974439287,96419788.90244,92587832.36257,90901302.6374,94696823.41368,87307498.91346,84078888.00198
222.395905681,96419208.79932,92599277.37137,90897913.01259,94686078.81783,87318021.89031,83911180.52821
223.816929060,96427846.80858,92594406.03374,90899403.3042,94689697.79501,87312143.43032,83752891.75065
225.238841666,96416924.4292,92605102.87033,90904560.1232,94674747.201,87310363.29908,83892416.0463
226.659412999,96432568.1857,92614434.94411,90892297.6311,94643034.05085,87287888.75267,83861305.25266
228.081328363,96439144.84401,92614465.58921,90900262.74214,94642433.48889,87292743.07809,83799516.47528
229.502347484,96427231.14901,92610854.94378,90906113.49456,94626198.57855,87298777.5026,83648043.87058
230.923815635,96422577.86483,92624197.50031,90899486.36447,94643802.18546,87304004.38518,83618323.74406
232.345289363,96421504.00559,92609451.55828,90903195.65001,94651725.54289,87283525.6538,83600781.38718
233.766304484,96421626.06994,92621985.16604,90886517.92963,94704977.29454,87287826.12454,83787988.29615
235.187779726,96416039.0478,92630983.60736,90899276.83188,94676428.31076,87282355.78488,83901953.41902
236.608808211,96417530.56126,92601746.72007,90892387.85579,94696015.548,87289736.42482,83870378.79571
238.030271757,96414967.56756,92610128.10907,90883923.49688,94696161.15583,87300029.48549,83790797.86225
239.451297181,96406253.26967,92606724.28642,90900052.00979,94686991.63859,87284726.501,83818316.47341
240.873215332,96395931.82901,92597181.17878,90891534.02385,94710340.31244,87298091.87133,83756835.11791
242.293793090,96405876.49871,92587225.28183,90902564.78605,94711790.13797,87291383.81212,83855116.5169
243.715707484,96399459.06186,92588772.55887,90899409.33087,94649677.66881,87294243.65087,83945100.34008
245.136721423,96407553.38247,92587251.00637,90885898.4735,94674619.99984,87297906.64719,84058839.82417
246.558191060,96408076.84397,92579667.96074,90885925.47058,94646766.6759,87283817.75334,84091766.56092
247.979662241,96404634.10547,92582844.45166,90881378.29335,94678775.5843,87274955.82362,84151387.62416
249.400679332,96407948.2239,92547297.85498,90893500.34812,94674699.63112,87269601.47942,84368081.73095
250.822147120,96395704.30627,92569775.60509,90867983.38421,94666215.90626,87282284.70933,83941370.51678
252.243174969,96402771.48306,92570464.84816,90869912.59886,94653904.40477,87260080.83317,83990844.72118
253.664641408,96405811.01122,92573775.6607,90869359.25738,94679769.51085,87289071.4472,84226958.79324
255.085661499,96409283.94728,92571574.27383,90876015.91179,94673544.13833,87266843.85139,84154747.05984
256.507577590,96406113.63013,92563993.26998,90874364.41952,94669278.49659,87271717.32641,84275492.34245
257.928138984,96404669.9271,92562334.89397,90874427.25514,94684806.21911,87280704.96771,84132740.73024
259.350066681,96393492.7083,92562905.19875,90881802.73099,94701804.9582,87273429.83811,84105185.1219
