Style,Full,,,,,,,,,,,,
Append Mode,1,,,,,,,,,,,,
Fill Mode,1,,,,,,,,,,,,
Capacity,1000000,,,,,,,,,,,,
Count,15966,,,,,,,,,,,,
Base Time Seconds,1670981371,,,,,,,,,,,,
Base Time Fractional,0.567411951,,,,,,,,,,,,
Base Time,12/14/2022 01:29:31.567411951,,,,,,,,,,,,
Scan Relative Time,CH115,CH116,CH117,CH118,CH119,CH120,,,,,,,
0,97036894.04,94737727.05,92665805.99,95971194.33,90790085.52,87791587.56,,,,,,,
1.421035272,97072693.38,94697964.67,92666058.7,95989012.83,90790838.29,87779202.6,,,,,,,
2.842514545,97039101.43,94748540.34,92668857.01,96010425.07,90778536.51,87750877.2,,,,,,,
4.263539,96999856.29,94729212.36,92707073.43,96028081.17,90731521.45,87733926.21,,,,,,,
5.685465,96988176.51,94722122.77,92713651.46,96064974.39,90778047.9,87744247.26,,,,,,,
7.106037969,96981444.59,94696847.22,92687578.81,96048972.88,90789673.73,87793432.9,,,,,,,
8.52797206,96972991.53,94655374.92,92660500.28,96044665.98,90824363.54,87771612.91,,,,,,,
9.948988575,96986994.65,94665143.76,92640986.8,96027196.3,90792301.62,87756519.8,,,,,,,
11.37047485,97012475.49,94681041.78,92639089.97,95982151.09,90762962.11,87735604.49,,,,,,,
12.79195379,97034520.9,94722457.92,92651440.55,95971238.05,90728793.99,87689038.93,,,,,,,
14.21297461,97026789.51,94749978.92,92676385.22,96004741.98,90710605.48,87665928.2,,,,,,,
15.63445942,96990323.67,94738827.3,92696138.88,95998546.24,90717580.88,87649367.65,,,,,,,
17.055487,96976482.42,94699158.91,92702230.63,96045563.59,90741647.8,87643359.02,,,,,,,
18.47694783,96967615.38,94672856.34,92666285.13,96037043.05,90740763.73,87686371.42,,,,,,,
19.8979692,96950592.85,94660459.74,92638851.23,96028666.09,90760851.3,87669217.6,,,,,,,
21.31988977,96992648.45,94661688.17,92631663.93,95993419.44,90718873.83,87670280.3,,,,,,,
22.74044992,97003183.43,94668636.43,92655204.58,95959918.59,90701720.29,87684168.37,,,,,,,
24.16238441,97014372.29,94682629.97,92624886.83,95966561.88,90692172.21,87652313.56,,,,,,,
25.58340023,97013024.35,94683704.82,92655417.68,95973354.21,90672166.91,87635611.01,,,,,,,
27.00487498,97000773.58,94708041.78,92661466.01,95979000.66,90682089.23,87613875.31,,,,,,,
28.4263528,96965954.85,94671193.95,92664299.16,96009410.51,90677957.89,87618398.76,,,,,,,
29.84738047,96965667.76,94665017.12,92621378.23,95966059.65,90640163.59,87644132.66,,,,,,,
31.26885477,96956906.4,94574418.24,92572273.72,95975204.64,90599477.64,87572278.23,,,,,,,
