Style,Full
Append Mode,1
Fill Mode,1
Capacity,1000000
Count,15080
Base Time Seconds,1671498587
Base Time Fractional,.208139526
Base Time,12/20/2022 01:09:47.208139526
Scan Relative Time,CH115,CH116,CH117,CH118,CH119,CH120
0.000000000,97259865.49838,95361427.952,92817495.04717,96077785.08018,90377141.39016,88423079.84434
1.421027939,97190442.76887,95470545.62471,92950085.75234,96177334.91572,90427994.91926,88460968.38767
3.514831863,97181803.07463,95404741.14768,92831257.52289,96151827.81751,90389642.45286,88414679.21682
4.935841500,97168635.13895,95381229.96129,92805071.22361,96111521.93019,90379276.29427,88392264.27718
6.357306773,97184864.07163,95396700.68413,92805198.77915,96123378.50288,90372257.53223,88376088.52153
7.778322045,97180141.04073,95411851.87968,92844154.83368,96113294.33765,90364767.1438,88370011.09345
9.200236348,97174212.47431,95403283.96831,92847724.99544,96130691.40742,90373977.8424,88368418.97005
10.620805439,97159601.18958,95402856.1606,92841170.2654,96138147.36153,90374991.56252,88358760.24027
12.042736500,97159504.38886,95396531.31067,92827032.82845,96144146.3425,90359563.47209,88329532.66915
13.463759621,97141865.21017,95392673.58961,92821087.51999,96117589.86391,90380917.98703,88361879.36184
14.885247894,97138744.76851,95387721.53348,92823647.87487,96136356.89721,90375142.66683,88352764.37827
16.306720773,97154384.83281,95386361.84169,92827511.67177,96123186.34126,90374261.49167,88355695.49198
17.727740409,97145088.89082,95383877.55379,92807586.01703,96134729.19688,90378591.01344,88371021.37047
19.149203833,97156751.07199,95381073.6848,92811739.72847,96146887.82839,90361270.82441,88334167.23685
20.570220197,97166629.33363,95389158.21192,92822465.17962,96114038.24484,90350489.86722,88325619.24725
21.991695621,97169049.292,95399753.60809,92820851.04992,96110102.00449,90334115.09941,88337418.62941
23.412713076,97176404.55406,95388870.53579,92813877.35908,96104441.32472,90325263.02588,88339030.8697
24.834633379,97167703.63606,95400172.47486,92817897.1023,96107826.97727,90324359.29754,88319781.64461
26.255201015,97176328.53978,95415046.13126,92823116.16928,96111913.17399,90319449.55453,88311885.23078
27.677120742,97155425.24892,95412026.08601,92827567.07594,96101961.46199,90319050.65388,88322453.34174
29.098132651,97158407.86467,95398715.03248,92813968.2461,96116297.71735,90324749.33707,88331284.56426
30.519606136,97148150.06499,95358188.3368,92826740.54425,96117524.17875,90292499.08465,88314219.1628
31.941078334,97165002.77966,95363471.15403,92831395.85231,96164615.73488,90278950.18647,88279170.00465
33.362102152,97102421.08773,95334979.41573,92813307.86638,96154085.69271,90167689.39801,88302410.8705
34.783570516,97134189.08866,95277557.10704,92830397.93238,96144797.93148,90329411.55987,88257440.85985
36.204586758,97104909.04348,95256040.9121,92835245.64567,95987986.50294,90244666.91347,88275510.86541
37.626057425,97202966.97203,95251738.31675,92770150.461,96107306.77297,90338088.43973,88276499.75447
39.047070758,97126437.77674,95119825.51111,92851420.40279,96158875.15519,90251777.55816,88246928.42241
40.469003970,97074879.70189,95174404.86427,92815340.21613,96128429.64079,90257576.63044,88219702.93898
41.889569152,97069669.4161,95132862.87578,92804685.35803,96130868.36176,90258080.48629,88226755.45019
43.311488576,97075648.14193,95090445.01253,92756439.87046,96112558.18342,90209928.68048,88212753.31163
44.732503364,97073553.1078,95089899.38438,92756938.49877,96072167.67414,90199110.9636,88156011.35496
46.153971940,97071549.63369,95074936.83954,92736889.74049,96056200.57055,90151822.74136,88129569.36533
47.575437516,97077339.07476,95038719.71877,92723188.41502,96058352.34254,90131939.50645,88119537.84818
48.996458152,97034785.0332,95015881.23267,92711799.97526,96043713.10915,90098055.30462,88082603.69657
50.417919789,97032233.80182,95001128.12174,92702045.29813,96050766.0108,90106526.33207,88046669.20725
51.838934728,97012133.46535,94961249.17604,92686867.06275,96051039.75522,90072408.34633,88041826.47801
53.260394395,96994542.81346,94936429.5242,92658912.49663,96038554.83345,90058390.53479,88019678.53791
54.681409698,96996734.22921,94920187.1094,92642319.50668,96030684.03713,90051906.89392,88007811.29604
56.103328849,96977528.82664,94876625.74534,92628388.45912,96040504.89589,90031113.7954,87984062.15866
57.523898698,96973238.43645,94856519.41427,92598324.75852,96038985.32158,90016348.52633,87941057.03777
58.945834728,96958031.26385,94840670.79497,92581405.09297,96023062.76951,89997604.40182,87915228.81232
60.366850425,96960254.77277,94821528.22023,92565139.05429,96021560.02943,89990264.68603,87905503.98199
61.788333637,96933965.69244,94813526.46604,92547472.86012,96016550.40172,89969895.30326,87910987.85381
63.209800076,96920026.24071,94781824.73067,92526425.25737,96012865.10231,89960579.24894,87880479.22481
64.630827955,96927844.43371,94766955.58017,92520520.17965,95999254.78199,89936920.59347,87865998.24907
66.052294773,96905332.20514,94725129.51478,92486035.66505,95991462.3497,89933230.68252,87854727.68375
67.473307016,96913187.20151,94726714.35438,92486909.39965,95976939.51437,89921493.47249,87849371.83648
68.894779713,96916849.84703,94718185.06774,92465532.33125,95977213.11212,89885472.53508,87844747.28596
70.315792804,96908325.0292,94697709.43864,92455636.28469,95966805.91342,89866486.2322,87798653.04081
71.737725743,96898553.4044,94700657.88323,92447722.52478,95964376.36827,89860659.47041,87779409.04021
73.158289470,96892766.69603,94682410.39121,92433156.85655,95954306.11231,89847487.16893,87765448.79439
74.580229682,96880710.71179,94673964.83267,92432795.97723,95954947.53333,89839804.688,87736233.08246
76.001246531,96864486.71092,94651588.8293,92406618.12006,95950669.52839,89826449.52794,87716647.56475
77.422725137,96866834.90905,94631433.48796,92383492.055,95959650.01822,89822225.46649,87721350.66202
78.844188713,96857956.97373,94624684.97906,92373471.00578,95957641.64776,89799477.34484,87738868.38861
80.265214773,96847581.56629,94603035.92008,92363591.1558,95959077.31575,89795403.88493,87683927.70967
81.686669046,96843318.19229,94608000.71236,92349403.67776,95967725.15773,89785080.99756,87725522.34844
83.107687713,96829991.50896,94584119.55481,92347721.79607,95961272.06053,89786383.04118,87714843.00649
84.529161804,96811304.38924,94573772.14693,92333696.46634,95952534.15006,89789817.5839,87708502.29521
85.950182076,96817179.93674,94549425.79055,92298771.95458,95939807.76392,89773745.8529,87704851.03332
87.372103531,96812245.11109,94548514.20331,92290342.66622,95932034.86127,89773454.5788,87675607.30794
88.792672319,96819457.32599,94526977.71634,92272280.51588,95919154.45621,89749747.168,87662702.10688
90.214592622,96825842.79219,94522704.61721,92260379.45139,95907778.06642,89752325.43342,87608577.25936
91.635597016,96819533.36825,94515680.46269,92244503.76701,95905431.08837,89732150.50338,87612460.16846
93.057058773,96824897.27544,94519616.84228,92244184.6684,95890345.01561,89719333.58244,87582685.67393
94.478525349,96807616.84374,94532889.12963,92247013.80716,95895971.0361,89713479.11969,87595346.21873
95.899553652,96811214.6684,94526681.57588,92240102.91115,95896533.22288,89700955.85209,87576097.46357
97.321017046,96805756.52148,94499389.80404,92224102.69273,95903600.08509,89696560.09244,87566399.76821
98.742030924,96803177.2058,94486485.18887,92205817.30379,95894470.17978,89703394.89647,87552758.28467
