Style,Full
Append Mode,1
Fill Mode,1
Capacity,1000000
Count,15075
Base Time Seconds,1671733326
Base Time Fractional,.841512087
Base Time,12/22/2022 18:22:06.841512087
Scan Relative Time,CH115,CH116,CH117,CH118,CH119,CH120
0.000000000,97727764.9678,96188451.03144,94003635.29386,96739291.6057,91843863.24695,89878166.08581
1.421018515,97640572.39581,96197193.32457,94002020.36223,96725138.15825,91839006.95465,89866249.88279
2.842945939,97651832.7669,96199982.82315,93987668.16021,96734696.92735,91824067.10995,89857395.99684
4.263520970,97652241.15104,96194734.54004,93993560.68607,96719588.93776,91834440.28865,89851570.23897
5.685453849,97656685.46516,96186928.841,93981413.07258,96712371.8811,91830513.32774,89856637.04355
7.106485333,97662471.0171,96201070.8606,93993122.73182,96711068.77501,91824466.11308,89835617.82711
8.527973833,97662195.21818,96196660.2618,93984517.87403,96716730.26499,91832631.95982,89838847.32038
9.949448287,97657256.01057,96191899.79998,93988218.07808,96714105.24143,91830091.27042,89833816.69073
11.370476833,97663793.28248,96197866.81796,93982092.44069,96710928.0971,91824614.85806,89851070.21485
12.791959833,97668779.41659,96203881.64305,93973681.76243,96701589.91021,91814245.41958,89835577.86041
14.212974015,97667020.93076,96192628.7766,93972511.50864,96711571.15421,91815555.82184,89832544.06757
15.634444742,97668318.03278,96185614.95155,93981139.03347,96698400.27948,91808660.79708,89819798.39413
17.055473015,97674849.4987,96195102.39935,93982580.49526,96700406.1856,91808743.62851,89815527.87103
18.477413500,97669508.36846,96189255.89174,93977317.00721,96701873.83202,91807097.79045,89797768.82808
19.897995681,97668834.53042,96189087.93981,93967523.13181,96710452.75356,91815776.73146,89803771.96564
21.319929045,97669964.71215,96184640.87642,93964186.93303,96702168.94214,91797555.74926,89815477.8258
22.740944621,97664447.86469,96190301.90376,93969004.79099,96698603.74008,91791476.79514,89821025.8479
24.162423348,97665572.28338,96185402.75486,93963499.79417,96680570.4696,91784322.33451,89793378.20319
25.583896227,97661950.7681,96182597.00232,93960366.70082,96701372.00496,91791169.39516,89791259.69551
27.004932984,97668049.8497,96178514.86345,93955656.90096,96694878.81491,91776075.16741,89811223.24249
28.426417681,97658402.39758,96183397.00221,93952855.47858,96703814.03457,91780309.59033,89797504.42125
29.847444197,97665213.2407,96171996.78349,93953958.55467,96710515.15093,91742558.51434,89782168.05328
31.268920045,97659414.76096,96119284.81137,93930337.82379,96706049.81686,91719241.32817,89745186.51864
32.689938287,97651450.90614,96097840.07276,93915386.39856,96700552.8178,91716708.19987,89731148.77306
34.111866924,97653691.37346,96071953.30912,93912378.34472,96689110.41296,91693187.4405,89719795.43619
35.532430348,97645044.16142,96037544.98671,93917764.12962,96656672.23127,91687226.1975,89700747.47657
36.954352318,97642213.11449,96016310.74513,93874542.4163,96657988.30473,91648464.96429,89670774.03055
38.375382682,97624401.97916,95983007.6189,93863674.5655,96646405.67251,91637908.48736,89637414.61019
39.796868652,97611241.29547,95956128.40437,93830650.19197,96647228.1676,91591575.87199,89596283.37705
